"","Segment","RESPID","Q1_1_When buying a boat  I do a lot of shopping around and visit multiple dealers","Q1_2_When buying a boat  getting the lowest price is more important than the boat brand","Q1_3_The brand of boat I buy says a lot about who I am","Q1_4_I only consider buying a boat from a reputable brand","Q1_5_I am willing to pay a premium for a brand with a reputation for high quality","Q1_6_Owning a boat is a way of rewarding myself for my hard work","Q1_7_Owning a boat gives me a sense of achievement","Q1_8_When buying a boat  functionality is more important than style","Q1_9_I see my boat as a status symbol","Q1_10_When buying a boat  I rely more on expert opinion than my own  e g  consumer reports  salespeople ","Q1_11_I tend to perform minor boat repairs and maintenance on my own","Q1_12_When it comes to boating  I tend to prefer a basic boat with little to no frills","Q1_13_When buying a boat  I tend to buy the latest and greatest","Q1_14_When buying accessories for my boat  I tend to buy the latest and greatest","Q1_15_I am serious about the technology on my boat","Q1_16_People tend to come to me for advice about boating","Q1_17_I consider myself more knowledgeable about boating than the rest of my boating peers","Q1_18_Boating gives me a feeling of adventure","Q1_19_Boating allows me to experience nature","Q1_20_When not on my boat  I often find myself doing boating related activities","Q1_21_Boating helps me escape from everyday life and relax","Q1_22_Boating helps me stay active","Q1_23_Boating allows me to excel in the sports that I am passionate about   e g  fishing  racing  water sports ","Q1_24_Boating gives me an outlet to socialize with family and or friends","Q1_25_Being in charge of my boat is very important to me","Q1_26_Having a powerful boat is what is most important to me","Q1_27_Boating is the number one thing I do with my spare time","Q1_28_Boating is my true passion in life","Q1_29_Boating is one of many things I do in my spare time","Q2_How many powerboats do you currently own ","Q2_Cluster_Own a boat ","Q3_How likely would you be to purchase a new boat in the future ","Q4_Approximately how much did you pay for your current Boat ","Q5_What is the horse power of your engine brand current boat engine   the boat you want to buy ","Q6_Length of Boat  in Feet ","Q7_1_I normally boat alone","Q7_2_I boat with my spouse or significant other","Q7_3_I boat with my family  including kids","Q7_4_I boat with my friends","Q8_How would you rate your experience regarding boating ","Q9_1_Fishing   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q9_2_Swimming   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q9_3_Cruising   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q9_4_Water Sports   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q9_5_Entertaining socializing   Below is a list of activities that may or may not do while boating  Please indicate how often you engage in each of these activities","Q10_During your boating season  how many days out of the year do you typically use your boat","Q11_Gender","Q12_HOUSEHOLD income","Q13_Are you now married  widowed  divorced  separated  never married  or living with a partner ","Q14_Current Employment Status","Q15_Age in cluster","Q16_Name of the Brand rated","Q16_1_Is a brand that has been around for a long time","Q16_2_Has best in class customer service","Q16_3_Has a strong dealer network","Q16_4_Is a leader in cutting edge technology","Q16_5_Is a leader in safety","Q16_6_Is known for its innovative products","Q16_7_Is a brand for people who are serious about boating","Q16_8_Is a good brand for people that are new to boating","Q16_9_Is a brand I see in the water all the time","Q16_10_Offers boats that provide a fast and powerful boating experience","Q16_11_Offers the best boats for socializing","Q16_12_Offers the best boats for water sports  e g   tubing  ski  wakeboard ","Q16_13_Offers boats with superior interior style","Q16_14_Offers boats with superior exterior style","Q16_15_Offers boats that stand out from the crowd","Q16_16_Offers boats that look cool","Q16_17_Offers boats that can handle rough weather or choppy water","Q16_18_Offers boats that can handle frequent and heavy usage","Q16_19_Offers a wide breadth of product offerings and accessories","Q16_20_Offers boats that I can move around safely","Q16_21_Offers boats that are easy to maintain and or repair","Q16_22_Offers boats that are easy to use","Q16_23_Offers boats that are easy to clean up","Q16_24_Has low prices","Q16_25_Is a brand that gives me peace of mind","Q16_26_Makes me feel I made a smart decision","Q16_27_Is a brand that impresses others","Q17_Recommend","Q18_PurchaseFuture"
"540",2,2925,4,2,3,4,4,3,1,5,2,2,4,2,4,4,5,4,4,5,5,4,4,4,4,4,5,4,2,4,4,2,1,4,5,5,20,2,4,3,5,2,4,3,5,3,4,9,1,19,1,1,1,10,4,4,5,4,5,3,5,4,3,4,5,5,4,5,4,4,5,5,4,5,4,4,5,3,4,3,4,0,0
"541",3,3140,3,3,3,4,3,4,4,4,2,1,5,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,5,5,4,1,1,4,5,5,25,2,4,4,4,4,3,4,3,3,3,20,1,19,1,1,4,18,5,3,4,3,4,4,4,4,4,4,3,4,3,3,3,3,4,5,3,4,4,4,4,3,4,4,4,1,0
"542",3,5918,4,3,3,4,4,4,3,4,3,4,4,3,4,4,4,3,3,4,5,3,5,4,4,4,4,2,3,3,4,1,1,4,3,5,24,2,4,4,3,2,5,3,4,3,3,20,1,15,1,2,2,7,3,4,4,5,4,4,4,4,4,4,5,3,4,4,5,3,4,4,4,4,4,4,4,4,4,4,4,0,0
"543",2,10037,4,2,1,3,2,4,3,4,1,4,4,3,3,3,3,1,2,4,4,3,4,4,3,4,3,2,3,2,3,0,0,4,1,5,6,1,4,5,4,2,3,4,4,3,5,20,2,10,1,7,1,10,4,3,3,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,0,0
"544",3,221345,4,4,3,3,4,4,4,4,2,4,4,2,3,3,4,4,2,4,5,3,5,4,5,5,3,3,4,3,5,1,1,4,4,5,28,2,5,5,5,2,5,4,5,2,5,60,2,14,5,1,1,36,2,3,4,4,3,3,3,3,4,4,2,2,4,3,4,3,4,3,4,4,4,4,4,3,3,4,4,0,0
"545",2,1086,4,2,5,2,2,5,3,5,2,2,4,4,2,3,3,3,3,5,5,4,5,4,5,4,2,3,4,4,4,1,1,5,3,5,24,3,5,5,2,2,5,5,4,1,1,20,2,11,1,1,3,38,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,0,0
"546",2,225323,4,3,3,4,3,4,4,4,2,3,4,3,3,3,3,3,3,4,4,3,4,4,3,2,3,4,3,3,4,1,1,4,4,5,24,1,5,5,4,2,4,4,3,5,3,50,1,12,1,1,1,3,4,3,3,3,4,4,4,4,3,4,3,3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,1,0
"547",3,17378,4,3,2,4,3,3,3,3,3,3,4,2,2,2,3,2,3,4,5,3,4,4,4,5,4,4,3,3,4,0,0,4,1,5,22,1,5,5,4,1,2,4,4,4,4,30,2,15,1,7,2,40,3,4,4,3,4,4,4,3,3,3,3,3,4,3,3,3,4,4,4,3,4,4,4,3,4,4,3,0,0
"548",2,2993,5,3,3,4,3,5,4,3,1,3,5,2,3,4,4,3,4,5,5,3,5,4,4,4,4,1,2,2,4,1,1,5,2,5,40,2,5,4,3,2,4,4,4,4,4,60,2,12,1,7,1,50,4,3,4,4,3,4,4,4,5,5,3,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,3,1,0
"549",3,236078,4,3,3,4,3,4,3,3,3,4,4,3,3,3,4,4,3,4,4,4,4,4,3,4,3,3,3,3,4,1,1,4,11,5,27,3,5,5,5,3,3,4,3,5,4,10,2,13,1,6,4,8,1,3,3,3,3,4,4,4,4,4,3,3,4,3,4,3,3,4,4,4,4,3,3,3,3,4,3,0,0
"550",2,19729,5,2,3,3,4,2,3,4,2,3,5,4,2,4,4,4,3,5,5,4,5,4,5,4,4,4,4,2,4,2,1,5,4,5,25,3,4,3,5,3,5,3,4,1,4,120,1,1,1,6,2,24,4,3,4,4,3,4,4,4,3,3,4,4,4,3,4,4,4,3,5,4,4,4,4,3,3,3,3,1,0
"551",2,17773,5,2,2,5,5,2,3,3,1,4,5,2,2,2,5,4,4,5,5,2,5,5,3,5,5,1,2,2,3,1,1,5,4,5,40,1,5,2,3,3,4,5,4,4,5,180,2,1,1,2,4,10,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,0,0
"552",1,487762,4,4,2,2,3,2,3,4,2,4,2,3,3,3,4,3,3,4,4,2,4,4,3,4,2,3,2,2,4,1,1,4,11,5,20,1,4,3,3,1,3,4,3,2,2,10,2,14,1,1,3,26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0
"553",2,11045,3,2,1,2,2,2,1,4,1,4,5,3,1,1,3,2,4,5,5,4,5,5,5,5,4,4,5,4,5,1,1,4,1,5,17,2,5,3,3,3,5,3,3,4,3,20,1,16,1,1,2,23,3,3,3,3,3,3,4,4,2,1,5,1,5,3,2,5,5,4,3,5,5,5,4,2,3,3,3,0,0
"554",2,546,4,2,3,4,4,4,3,4,1,4,5,3,3,4,4,1,3,5,4,3,5,4,1,4,4,1,2,4,4,1,1,5,6,5,38,4,2,1,4,2,1,3,3,2,4,30,1,13,3,2,2,39,1,3,4,3,4,4,4,4,2,1,2,4,2,4,4,5,3,4,4,4,5,3,3,4,2,4,3,0,0
"555",3,231708,5,3,2,4,3,4,3,4,2,4,5,2,3,4,5,4,3,4,5,4,4,4,4,4,4,3,3,4,4,2,1,5,7,5,27,3,5,3,4,2,4,2,5,3,4,60,2,17,1,1,4,24,4,4,3,4,3,4,4,4,4,4,4,3,4,3,4,2,4,2,4,3,3,4,4,2,2,4,3,0,0
"556",2,230814,5,2,3,4,4,4,2,4,2,2,4,2,2,2,4,4,2,4,4,2,4,2,4,4,4,2,2,2,4,1,1,4,4,5,21,3,5,5,5,3,5,1,2,1,1,60,1,17,1,1,3,84,4,2,2,1,2,3,3,3,3,4,2,3,3,3,3,3,4,2,3,4,4,4,4,4,2,2,2,0,0
"557",2,21535,4,2,4,4,3,4,2,3,1,1,4,2,3,4,3,4,3,5,5,3,5,4,4,5,3,1,1,2,4,1,1,4,7,5,36,3,5,5,4,3,5,3,4,4,3,200,1,17,1,2,3,5,1,3,1,4,2,4,4,3,3,4,2,2,2,2,3,4,2,4,3,4,4,4,4,4,1,2,2,0,0
"558",3,421470,4,5,4,4,4,5,5,5,4,5,4,4,5,4,4,4,5,5,4,5,5,5,5,5,5,4,4,5,5,1,1,5,3,5,25,1,5,4,4,3,2,5,4,4,5,60,2,1,6,2,2,46,5,5,5,5,5,4,5,4,4,4,5,5,4,5,5,5,5,5,5,4,4,5,4,5,5,4,5,1,1
"559",3,226250,5,5,2,4,4,4,5,3,4,2,4,2,4,4,4,4,5,4,4,4,4,5,4,4,5,4,4,4,4,2,1,5,8,5,35,4,4,5,5,3,3,4,5,5,4,40,1,19,1,1,1,54,2,4,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,5,5,4,5,4,5,5,5,1,1
"560",3,422381,5,4,4,5,3,3,5,4,4,4,5,4,4,5,4,4,4,5,4,4,3,4,3,4,4,4,4,5,4,1,1,5,6,5,25,4,4,5,5,3,4,4,3,5,4,16,1,17,1,2,1,8,4,4,5,4,5,3,4,5,5,4,4,4,3,4,5,3,5,5,4,4,3,5,5,4,5,4,5,1,1
"561",3,422682,4,5,5,4,5,5,4,4,5,3,5,4,5,4,5,5,4,5,4,5,5,4,4,5,4,4,4,4,5,4,1,5,3,5,10,5,5,4,4,4,5,4,5,5,4,15,1,1,5,1,1,5,4,3,5,4,4,4,4,4,5,4,5,5,4,4,3,5,4,5,5,4,5,4,5,4,5,5,5,0,1
"562",3,423076,5,5,4,5,5,4,4,4,4,5,4,5,5,5,4,5,5,4,4,5,5,5,5,4,4,4,4,4,4,2,1,5,5,5,35,4,4,4,4,3,4,5,4,5,4,20,1,19,1,1,1,29,4,4,4,5,4,4,4,4,5,4,5,5,4,4,4,5,4,5,4,4,4,5,4,2,5,4,5,1,1
"563",3,481115,5,4,4,4,4,4,5,5,4,5,5,5,4,5,4,5,4,5,4,4,5,4,5,5,4,5,5,4,4,1,1,5,3,5,30,3,3,3,3,2,3,3,3,3,3,20,1,1,5,6,2,2,5,5,4,5,4,5,5,5,4,4,4,4,5,4,4,4,5,5,4,5,4,5,5,5,5,5,5,0,1
"564",3,422208,4,5,5,4,4,5,4,4,5,4,5,4,4,5,5,5,4,4,5,5,5,4,4,5,4,3,4,4,4,3,1,5,4,5,20,5,3,4,4,2,4,4,3,4,4,5,1,12,5,1,1,50,5,5,5,5,5,4,5,5,4,5,4,5,4,4,4,5,4,5,5,5,4,4,4,4,4,5,5,1,1
"565",3,222622,4,5,3,4,4,4,5,4,4,4,4,4,4,5,3,5,4,5,5,4,4,3,4,4,3,5,3,4,4,1,1,4,6,5,22,4,4,5,3,2,3,3,4,4,3,24,2,15,1,1,3,11,5,5,5,4,5,5,4,5,4,4,5,4,4,5,5,4,4,4,3,4,5,4,5,4,4,5,5,0,1
"566",3,421521,5,4,4,5,4,4,4,5,4,4,4,4,4,4,5,5,5,4,5,4,4,4,4,5,4,4,5,5,5,2,1,4,11,5,6,5,5,5,4,1,5,5,5,4,5,30,1,1,5,1,2,17,4,5,4,4,4,5,5,5,5,5,4,5,4,4,5,5,4,4,4,5,4,5,4,5,4,5,5,0,1
"567",1,480799,2,3,3,5,4,4,2,4,4,3,2,5,4,2,2,4,4,3,3,3,4,3,5,3,2,2,5,4,2,1,1,4,8,5,13,3,3,2,2,3,4,3,2,3,2,12,1,18,1,1,1,21,4,4,2,4,4,4,4,4,5,5,4,4,3,4,4,4,4,4,5,5,4,5,5,4,4,5,5,0,1
"568",3,421169,4,5,5,4,4,5,4,4,4,4,5,4,5,3,4,4,5,5,5,5,4,4,4,4,4,4,5,4,4,0,0,5,2,5,25,4,3,4,3,2,4,3,3,4,3,25,2,12,1,1,3,54,4,4,4,5,4,5,4,5,5,4,4,5,4,5,5,5,5,5,5,4,5,4,4,4,4,5,5,1,1
"569",1,232487,5,2,4,5,4,4,3,3,4,2,2,1,4,4,4,4,3,3,2,3,3,4,4,4,3,3,3,3,3,1,1,4,6,5,28,1,5,5,5,3,1,5,5,3,5,25,2,17,1,2,2,8,4,3,4,4,3,3,4,3,4,4,4,3,5,4,4,5,4,4,4,3,4,4,3,5,4,4,5,0,1
"570",3,422604,5,3,2,3,4,3,4,5,3,3,4,3,3,3,4,4,3,4,5,3,4,3,4,5,5,4,3,4,3,1,1,4,2,5,18,2,2,4,3,2,5,3,3,2,2,15,1,1,3,6,3,50,5,4,5,4,5,3,5,3,3,5,5,4,4,5,5,5,4,5,5,5,4,4,4,3,5,5,4,0,1
"571",3,421052,4,5,5,5,4,4,5,4,5,4,4,5,5,5,4,4,5,4,5,4,4,5,4,5,4,4,5,4,5,2,1,5,3,5,24,5,1,1,1,3,4,5,5,4,4,100,1,16,5,1,3,39,4,4,4,5,4,5,4,5,4,5,4,5,5,4,4,4,4,4,5,4,4,5,4,4,5,5,4,1,1
"572",3,240858,4,2,2,4,4,5,4,4,4,3,4,4,3,3,3,3,4,5,4,4,4,2,5,5,4,4,3,4,4,0,0,4,3,5,22,4,4,5,4,2,5,4,3,2,4,45,1,18,1,1,2,53,4,5,3,3,4,4,4,4,2,5,5,4,2,4,4,5,3,4,4,4,4,2,4,5,5,4,4,1,1
"573",3,421126,5,4,5,4,5,5,4,4,3,4,5,5,4,5,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,1,1,5,8,5,20,5,5,5,5,3,5,5,5,4,4,200,1,19,5,1,2,18,4,5,5,5,4,4,4,5,4,4,3,4,4,4,4,5,3,4,4,5,3,4,5,4,5,4,4,0,1
"574",3,420195,5,4,5,4,4,5,5,5,5,5,4,4,5,5,5,4,4,5,5,4,5,5,4,4,5,5,5,5,5,2,1,5,3,5,25,5,4,4,4,2,4,4,5,4,4,30,1,12,5,1,1,28,5,5,5,5,5,4,5,5,4,5,5,5,4,5,4,5,4,4,5,5,5,4,5,5,3,5,4,0,1
"575",1,224821,4,4,2,4,4,4,4,5,1,2,1,3,2,4,4,5,3,4,5,4,5,5,4,4,2,4,2,4,2,2,1,5,5,5,30,1,5,5,5,2,5,5,5,5,5,10,2,15,1,1,2,27,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,1,1
"576",1,23465,4,5,4,4,4,4,4,4,3,3,3,3,3,4,4,3,4,4,4,3,4,4,4,5,5,4,3,4,4,0,0,4,2,5,18,4,4,3,5,2,5,3,4,2,3,120,1,1,1,5,4,23,4,4,3,4,4,3,4,4,4,4,5,5,4,3,4,5,4,3,4,4,4,5,4,3,4,4,4,0,1
"577",3,421334,4,5,4,5,5,4,5,4,5,4,4,4,4,4,4,5,4,5,4,5,5,4,5,5,4,4,4,4,5,0,0,5,2,5,8,4,5,5,5,2,4,4,4,5,4,20,1,13,1,1,1,35,5,5,5,4,4,5,5,4,5,4,4,4,5,4,5,4,4,4,5,5,5,4,4,5,4,4,4,0,1
"578",3,422646,3,3,5,4,4,5,4,5,4,3,3,3,4,4,3,3,3,3,3,5,4,4,5,4,3,4,4,4,4,2,1,5,6,5,25,4,5,3,4,1,4,4,4,5,3,1,2,15,1,2,1,21,4,5,4,4,4,5,3,5,5,4,5,4,4,5,5,5,5,4,4,4,4,5,4,5,4,5,4,0,1
"579",2,471931,4,3,3,4,3,3,4,4,2,4,3,3,3,3,4,3,3,5,4,3,4,4,4,3,4,5,3,3,3,0,0,4,3,5,30,2,3,3,3,2,3,3,3,3,3,20,1,1,4,4,4,28,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1
"580",3,480068,4,3,3,3,4,4,3,4,3,4,3,3,3,3,4,3,3,4,4,4,4,3,4,3,4,4,3,3,4,0,0,4,4,5,25,3,5,5,5,2,4,4,4,5,4,60,1,16,1,1,3,14,4,4,3,5,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,3,4,4,4,0,1
"581",3,227250,5,4,2,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4,3,3,3,4,4,3,4,4,4,3,4,2,1,4,6,5,25,4,3,2,4,3,3,3,4,3,4,40,1,13,3,1,1,35,3,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,1,1
"582",1,232782,4,3,3,4,4,4,3,4,4,4,3,3,3,3,3,4,3,4,3,4,4,3,3,4,4,4,4,3,3,1,1,4,3,5,18,3,3,3,3,2,3,3,3,3,3,5,1,17,1,1,1,3,4,4,4,3,3,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,0,1
"583",3,421756,4,3,3,4,3,4,2,3,5,3,5,5,3,3,3,4,3,3,3,4,2,3,4,3,4,4,5,5,5,1,1,5,5,5,30,2,3,2,2,2,2,3,3,3,2,20,1,15,5,1,1,9,3,3,4,3,3,3,2,4,3,2,5,3,3,2,3,4,4,3,3,3,3,3,4,4,4,3,4,0,1
"584",3,222778,4,4,5,5,3,4,5,3,4,4,3,5,5,3,5,3,4,5,4,4,5,3,5,4,3,5,4,3,4,1,1,4,7,5,32,4,4,4,3,2,1,4,4,4,3,15,1,19,1,2,3,39,4,2,5,5,2,2,5,3,4,3,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,0,1
"585",3,224114,3,5,4,3,3,3,3,4,4,3,3,4,2,2,4,3,3,4,4,3,3,2,3,3,4,2,3,3,3,1,1,5,3,5,8,3,3,3,3,2,5,2,3,2,3,16,2,15,6,5,4,28,2,4,3,4,2,3,3,1,4,4,3,4,4,3,3,5,3,3,3,3,3,4,3,4,3,3,4,1,1
"586",1,230846,3,3,3,3,4,4,3,3,2,4,2,2,3,4,4,5,3,3,4,2,3,4,3,4,3,3,2,4,3,1,1,5,5,5,29,4,4,3,4,2,2,5,4,4,3,200,1,19,1,2,2,9,3,2,4,2,2,3,3,4,4,3,4,3,4,3,3,4,4,4,4,2,4,2,3,3,2,3,4,0,1
"587",3,236271,4,2,4,4,4,4,4,4,4,3,4,4,3,3,4,4,3,5,5,4,5,2,4,4,3,3,2,4,4,1,1,5,4,5,28,2,5,5,4,2,3,4,4,4,5,56,2,17,6,1,1,9,3,3,4,4,4,2,4,4,3,4,3,4,3,5,4,4,3,3,4,4,4,3,4,2,4,3,3,1,1
"588",3,23107,5,4,4,4,4,5,5,3,4,4,4,4,4,4,5,4,3,4,5,4,5,4,4,3,4,5,4,4,4,1,1,4,6,5,20,2,4,4,4,2,4,4,4,4,4,20,1,17,1,1,2,3,4,3,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,4,4,3,3,0,1
"589",3,421835,4,3,4,4,4,4,4,5,5,3,5,4,5,4,4,5,4,5,3,3,4,5,5,4,5,4,4,3,3,2,1,5,4,5,10,5,5,4,5,2,3,4,4,3,3,30,2,14,1,1,1,19,4,5,5,4,3,4,4,4,4,3,4,4,4,5,3,3,3,5,4,5,4,4,5,5,4,5,3,1,1
"590",3,23884,1,4,4,1,3,3,3,4,3,4,2,5,1,2,2,3,4,2,3,4,3,2,4,2,4,3,3,2,3,2,1,3,6,5,15,2,4,4,4,2,4,4,4,4,4,15,1,16,3,2,4,28,3,3,3,2,3,3,2,4,3,2,5,5,2,2,2,5,3,3,2,2,4,4,4,3,4,3,3,0,1
"591",3,420082,5,5,4,5,4,4,5,4,4,4,3,4,3,4,5,3,4,4,5,2,5,3,3,5,5,5,5,4,4,1,1,4,1,5,26,3,3,4,5,2,5,3,5,4,4,90,1,10,3,1,3,28,3,5,3,5,4,5,5,5,4,4,3,3,4,4,4,5,2,3,3,4,3,4,4,5,3,4,3,1,1
"592",2,232690,4,3,3,3,3,4,3,4,2,4,4,5,3,3,4,3,4,3,3,4,3,3,3,4,3,4,4,3,4,1,1,4,9,5,35,3,3,2,3,2,3,2,3,3,4,30,1,19,1,2,2,5,2,4,3,3,3,4,4,4,3,3,3,5,3,4,4,3,3,3,2,4,3,4,3,3,3,2,3,1,1
"593",1,226185,3,2,3,4,4,5,4,3,3,4,3,3,3,3,3,4,3,3,4,4,4,4,4,3,5,4,3,4,4,1,1,4,3,5,21,2,5,3,5,3,2,5,5,5,5,20,2,16,1,1,1,3,4,3,3,4,3,3,3,3,3,4,3,4,4,3,3,5,4,3,3,3,3,3,4,2,2,4,3,0,1
"594",3,17439,4,4,4,4,4,5,4,4,5,4,5,5,5,4,5,4,4,5,5,5,4,4,5,5,4,5,4,5,5,0,0,4,4,5,45,1,4,5,4,1,3,4,4,4,4,30,1,16,1,2,1,40,5,5,5,5,5,5,5,5,5,2,5,2,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,0,0
"595",3,20634,4,4,5,5,5,5,4,4,4,5,4,5,5,4,5,5,4,4,5,5,4,5,5,5,4,4,5,4,5,2,1,5,5,5,12,5,4,4,5,3,4,4,3,5,5,7,1,12,6,1,1,15,5,5,5,4,5,4,5,5,5,2,4,5,5,5,4,5,5,4,4,4,4,4,5,4,5,4,5,0,0
"596",3,7024,5,5,5,5,4,3,4,5,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,0,0,5,7,5,26,3,5,5,4,3,5,4,5,5,4,100,1,18,1,1,1,36,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,4,5,5,5,5,5,4,5,5,4,5,1,0
"597",3,3866,5,4,4,5,4,4,4,5,5,4,5,5,4,5,5,4,4,4,5,4,5,5,5,5,4,5,5,4,5,1,1,5,3,5,25,5,1,1,3,2,5,5,5,4,4,5,1,10,5,1,1,20,4,5,4,5,4,5,5,5,5,4,5,2,5,4,5,5,5,5,4,5,5,5,5,4,5,4,5,1,0
"598",3,1725,4,4,4,4,4,5,4,4,4,5,5,5,5,5,4,4,4,4,5,5,4,4,4,4,5,4,4,5,5,1,1,4,4,5,11,4,5,4,5,3,4,5,5,5,4,11,1,12,5,1,1,4,5,5,5,4,4,5,5,4,5,4,5,4,5,5,5,4,4,5,4,4,5,4,4,4,5,5,5,0,0
"599",3,9357,4,4,3,3,4,3,4,4,3,3,3,4,3,4,3,3,4,3,4,4,4,4,3,3,3,3,3,4,3,0,0,5,4,5,49,4,3,5,3,2,5,5,3,4,3,5,2,13,1,1,1,48,4,3,3,3,4,3,3,4,4,4,5,3,4,4,3,5,3,4,4,4,4,4,5,4,5,4,5,0,0
"600",3,20050,5,4,5,3,4,5,4,3,3,4,5,5,3,4,4,4,3,4,5,4,5,4,4,4,4,5,5,3,3,0,0,5,6,5,32,3,5,5,4,2,5,4,5,4,4,200,1,13,1,1,4,10,3,3,4,4,4,5,4,4,4,3,4,4,4,4,5,4,4,5,4,4,3,5,4,5,5,5,5,0,0
"601",3,3112,5,2,4,4,4,5,3,5,4,3,5,1,5,5,4,5,4,4,4,5,5,5,5,4,4,5,5,5,4,0,0,5,4,5,25,4,4,4,4,2,4,4,4,3,3,30,2,12,1,1,1,11,4,4,4,4,2,3,4,4,4,4,5,4,4,4,5,5,4,2,3,4,5,5,3,3,5,4,5,0,0
"602",3,423303,3,1,5,2,1,5,3,1,5,5,5,3,3,5,3,5,5,5,5,3,5,5,2,2,2,5,5,3,5,4,1,5,5,5,26,2,4,2,4,3,5,5,5,5,5,43,1,12,1,1,1,39,5,5,5,2,2,5,5,5,3,2,5,2,5,5,5,1,5,5,5,5,3,5,5,5,5,5,5,0,0
"603",3,13815,5,4,4,4,3,4,5,5,4,3,5,4,4,3,4,4,4,5,3,4,5,3,4,3,4,5,4,5,5,4,1,4,1,5,45,4,4,4,3,2,4,4,4,4,5,15,2,1,5,4,2,9,4,4,4,5,5,5,4,4,4,5,4,4,5,4,4,4,4,5,4,4,4,5,4,4,4,5,5,1,0
"604",3,12482,4,4,4,5,4,5,4,5,4,4,4,4,5,5,5,3,5,4,4,5,5,5,5,5,4,4,5,5,5,1,1,4,3,5,21,2,4,4,4,2,5,3,4,4,4,55,1,12,1,1,2,5,5,4,4,4,5,5,5,4,5,4,4,4,5,4,4,5,5,5,4,5,5,5,5,4,4,5,5,0,0
"605",3,952,4,4,4,3,3,4,4,5,4,5,4,5,5,4,4,5,5,4,4,5,4,5,4,4,5,4,4,4,4,1,1,5,3,5,15,3,5,3,3,2,4,4,4,4,4,30,2,14,1,1,2,39,4,4,4,4,4,4,4,4,5,5,4,2,4,5,4,5,5,4,4,4,5,4,4,5,4,4,5,1,0
"606",3,21998,3,4,4,4,3,4,4,2,4,3,3,4,3,3,5,3,3,4,5,3,3,3,5,4,5,4,4,4,3,1,1,5,6,5,25,1,1,4,5,2,4,5,5,5,5,70,2,10,5,1,1,23,4,3,5,3,4,4,5,4,4,5,3,4,4,4,5,4,3,4,5,4,3,5,5,5,4,5,5,0,0
"607",3,4033,4,4,4,5,5,4,4,5,4,3,5,4,4,4,3,4,3,4,4,4,3,4,4,3,3,3,3,5,5,1,1,4,5,5,27,2,5,2,3,2,3,4,4,4,4,35,1,16,1,1,1,47,5,5,4,4,4,5,5,5,5,4,3,5,4,5,4,4,5,5,4,3,4,4,3,5,4,5,5,0,0
"608",3,14991,4,4,4,4,4,5,5,5,3,4,5,4,5,4,4,5,4,5,4,4,4,4,4,4,5,4,4,5,5,0,0,4,9,5,10,5,4,1,4,2,3,4,3,4,3,45,1,15,1,1,3,9,4,4,5,5,4,5,4,4,5,4,4,4,4,4,4,4,5,5,4,5,5,5,4,4,4,4,5,0,0
"609",3,10890,4,3,3,4,3,5,4,4,3,4,5,4,3,4,3,3,4,3,4,3,4,4,4,4,3,4,4,4,4,1,1,5,4,5,22,4,3,3,3,2,3,3,2,3,3,60,1,10,5,1,1,1,3,4,3,4,4,4,4,4,4,4,3,4,3,4,3,4,4,4,4,4,4,3,4,4,4,4,5,0,0
"610",3,8135,4,3,4,4,3,3,3,3,4,4,4,4,3,3,4,2,3,3,3,3,3,4,4,3,4,4,4,3,4,1,1,4,5,5,24,2,4,4,3,2,5,4,4,4,3,24,2,14,1,1,2,18,5,4,4,4,4,4,4,4,4,5,4,3,5,5,4,4,3,4,4,4,4,3,3,3,2,3,5,0,0
