"","V1"
"2498",4
"2499",4
"2500",4
"2501",1
"2502",4
"2503",5
"2504",3
"2505",4
"2506",4
"2507",5
"2508",4
"2509",4
"2510",4
"2511",4
"2512",1
"2513",4
"2514",4
"2515",4
"2516",4
"2517",4
"2518",4
"2519",5
"2520",4
"2521",4
"2522",2
"2523",1
"2524",4
"2525",4
"2526",4
"2527",4
"2528",4
"2529",5
"2530",4
"2531",4
"2532",4
"2533",2
"2534",4
"2535",5
"2536",3
"2537",4
"2538",2
"2539",4
"2540",4
"2541",3
"2542",4
"2543",3
"2544",1
"2545",4
"2546",5
"2547",4
"2548",4
"2549",2
"2550",2
"2551",3
"2552",4
"2553",2
"2554",3
"2555",3
"2556",2
"2557",4
"2558",2
"2559",2
"2560",4
"2561",3
"2562",4
"2563",2
"2564",2
"2565",2
"2566",5
"2567",5
"2568",4
"2569",4
"2570",5
"2571",5
"2572",1
"2573",4
"2574",2
"2575",2
"2576",3
"2577",2
"2578",4
"2579",5
"2580",4
"2581",4
"2582",3
"2583",4
"2584",5
"2585",3
"2586",1
"2587",5
"2588",2
"2589",4
"2590",4
"2591",4
"2592",1
"2593",4
"2594",4
"2595",4
"2596",1
"2597",5
"2598",5
"2599",4
"2600",4
"2601",1
"2602",3
"2603",4
"2604",5
"2605",5
"2606",5
"2607",2
"2608",4
"2609",2
"2610",2
"2611",2
"2612",3
"2613",5
"2614",2
"2615",4
"2616",3
"2617",3
"2618",4
"2619",4
"2620",1
"2621",2
"2622",1
"2623",4
"2624",2
"2625",2
"2626",4
"2627",4
"2628",2
"2629",2
"2630",4
"2631",5
"2632",1
"2633",2
"2634",4
"2635",1
"2636",3
"2637",1
"2638",1
"2639",4
"2640",4
"2641",2
"2642",4
"2643",2
"2644",2
"2645",1
"2646",4
"2647",4
"2648",5
"2649",1
"2650",1
"2651",5
"2652",3
"2653",1
"2654",2
"2655",5
"2656",4
"2657",1
"2658",5
"2659",4
"2660",1
"2661",1
"2662",4
"2663",4
"2664",1
"2665",3
"2666",2
"2667",1
"2668",1
"2669",4
"2670",1
"2671",2
"2672",4
"2673",5
"2674",3
"2675",1
"2676",1
"2677",1
"2678",5
"2679",1
"2680",1
"2681",3
"2682",1
"2683",5
"2684",5
"2685",3
"2686",4
"2687",5
"2688",4
"2689",5
"2690",4
"2691",4
"2692",4
"2693",3
"2694",1
"2695",3
"2696",1
"2697",3
"2698",4
"2699",4
"2700",1
"2701",5
"2702",4
"2703",4
"2704",1
"2705",1
"2706",5
"2707",1
"2708",4
"2709",1
"2710",1
"2711",4
"2712",4
"2713",5
"2714",1
"2715",1
"2716",1
"2717",4
"2718",1
"2719",1
"2720",1
"2721",1
"2722",1
"2723",4
"2724",1
"2725",2
"2726",4
"2727",5
"2728",4
"2729",1
"2730",4
"2731",5
"2732",5
"2733",1
"2734",5
"2735",5
"2736",1
"2737",1
"2738",5
"2739",2
"2740",1
"2741",1
"2742",4
"2743",4
"2744",4
"2745",1
"2746",1
"2747",3
"2748",4
"2749",4
"2750",4
"2751",4
"2752",2
"2753",3
"2754",4
"2755",4
"2756",4
"2757",3
"2758",4
"2759",4
"2760",1
"2761",1
"2762",4
"2763",4
"2764",4
"2765",3
"2766",1
"2767",4
"2768",4
"2769",4
"2770",4
"2771",5
"2772",5
"2773",4
"2774",4
"2775",4
"2776",2
"2777",4
"2778",4
"2779",1
"2780",4
"2781",1
"2782",3
"2783",3
"2784",2
"2785",4
"2786",3
"2787",4
"2788",1
"2789",4
"2790",4
"2791",4
"2792",5
"2793",4
"2794",4
"2795",4
"2796",4
"2797",4
"2798",4
"2799",4
"2800",4
"2801",5
"2802",4
"2803",4
"2804",4
"2805",4
"2806",5
"2807",2
"2808",2
"2809",1
"2810",5
"2811",4
"2812",3
"2813",5
