"animal","test.sales","sales"
"bear",36,4891
"camel",42,4920
"kangaroo",56,7928
"bear",62,7525
"kangaroo",44,7476
"penguin",61,5056
"penguin",72,5622
"bear",58,6691
"monkey",35,8549
"rabbit",58,4355
"fox",7,0
"bear",38,5610
"bear",75,6598
"penguin",44,2816
"lion",39,6603
"kangaroo",29,4670
"kangaroo",37,8042
"penguin",60,3454
"bear",60,7968
"lion",55,8992
"camel",55,8452
"monkey",71,12522
"penguin",68,6341
"lion",74,9301
"kangaroo",51,8809
"lion",54,7617
"bear",32,5795
"fox",5,0
"elephant",4,0
"rabbit",30,2851
"lion",47,6780
"kangaroo",35,6542
"rabbit",67,4546
"fox",6,0
"lion",49,9407
"fox",3,0
"camel",44,6629
"penguin",66,4325
"monkey",48,10407
"bear",62,5888
"kangaroo",57,7846
"kangaroo",70,9705
"bear",32,4799
"kangaroo",66,9494
"fox",9,0
"kangaroo",68,9713
"lion",73,11590
"zebra",34,5953
"koala",3,0
"koala",3,0
"koala",10,0
"koala",8,0
"bear",33,5302
"monkey",49,9686
"bear",32,4835
"rabbit",47,4389
"kangaroo",60,10193
"penguin",59,5444
"penguin",36,2936
"monkey",31,7781
"kangaroo",71,10140
"lion",60,8194
"penguin",61,5947
"penguin",75,6237
"kangaroo",34,6101
"bear",61,7319
"bear",44,5616
"bear",74,8352
"kangaroo",60,8749
"penguin",44,4136
"bear",68,7137
"rabbit",47,3892
"kangaroo",37,8114
"lion",45,5964
"lion",60,8960
"bear",36,5610
"penguin",28,3700
"lion",28,4474
"monkey",65,13721
"bear",53,6552
"lion",45,7430
"penguin",70,6489
"kangaroo",65,8122
"rabbit",59,4679
"zebra",47,7014
"bear",72,7179
"lion",32,5524
"kangaroo",41,7613
"koala",3,0
"rabbit",58,4223
"penguin",58,4885
"zebra",26,5508
"bear",57,6502
"lion",53,7059
"zebra",63,8541
"monkey",72,14186
"penguin",73,6643
"bear",64,6747
"rabbit",38,2579
"penguin",34,4234
"kangaroo",48,9206
"bear",55,7572
"penguin",62,6265
"penguin",70,7250
"fox",6,0
"kangaroo",66,10059
"fox",7,0
"penguin",52,3261
"monkey",53,10635
"penguin",29,2702
"monkey",36,9932
"lion",63,7162
"elephant",4,0
"rabbit",35,2821
"lion",30,5107
"lion",34,6175
"lion",58,7683
"kangaroo",69,9428
"kangaroo",65,10396
"kangaroo",52,8833
"penguin",33,4491
"kangaroo",31,5818
"bear",34,4207
"kangaroo",69,10237
"elephant",7,0
"camel",58,8155
"monkey",58,12720
"penguin",72,5422
"kangaroo",26,5430
"monkey",55,11768
"rabbit",41,4807
"penguin",70,5591
"kangaroo",54,7473
"kangaroo",45,8065
"lion",39,5752
"bear",51,8062
"elephant",3,0
"lion",39,7307
"monkey",58,11696
"bear",49,7163
"lion",32,5221
"bear",66,9555
"fox",4,0
"bear",54,6223
"lion",42,7481
"kangaroo",70,9984
"koala",4,0
"monkey",57,11168
"kangaroo",55,8899
"bear",48,6537
"lion",25,4630
"lion",62,7623
"lion",53,6212
"monkey",48,9994
"lion",67,6372
"bear",34,4214
"penguin",43,4976
"bear",34,4556
"lion",56,6766
"lion",48,5946
"bear",62,7010
"bear",44,5917
"lion",52,6373
"fox",2,0
"lion",54,7501
"monkey",68,12751
"zebra",44,8465
"kangaroo",31,5860
"monkey",34,10162
"lion",28,5092
"camel",53,6035
"elephant",7,0
"bear",69,6626
"bear",67,7825
"zebra",62,9157
"elephant",4,0
"camel",38,5821
"monkey",46,9388
"zebra",28,5292
"lion",54,7341
"koala",1,0
"penguin",61,7323
"zebra",71,9318
"koala",7,0
"camel",44,6670
"bear",39,6242
"monkey",52,11078
"monkey",54,12385
"elephant",4,0
"penguin",56,4719
"fox",6,0
"monkey",61,13034
"monkey",49,11833
"koala",3,0
"lion",68,6903
"kangaroo",52,8287
"monkey",47,9386
"elephant",10,0
"elephant",1,0
"zebra",37,5653
"bear",72,7742
"monkey",74,14768
"monkey",57,11794
"kangaroo",65,10160
"penguin",27,4159
"kangaroo",40,7264
"bear",36,6749
"monkey",43,10621
"rabbit",69,3652
"bear",52,5135
"kangaroo",62,8922
"camel",37,4923
"lion",69,9560
"penguin",60,5313
"monkey",62,12515
"penguin",56,3374
"monkey",47,10218
"monkey",52,10629
"kangaroo",70,9411
"bear",31,3812
"bear",63,6264
"kangaroo",65,10566
"zebra",57,6281
"elephant",9,0
"monkey",63,13630
"penguin",41,2715
"penguin",60,6004
"elephant",2,0
"monkey",51,11696
"rabbit",36,4420
"kangaroo",28,5811
"monkey",30,7874
"lion",37,7406
"monkey",29,7222
"bear",54,6854
"bear",52,6703
"zebra",58,7664
"lion",54,7938
"penguin",41,3551
"zebra",60,7916
"bear",56,6039
"lion",29,7853
"penguin",64,4585
"koala",4,0
"fox",7,0
"lion",49,5128
"elephant",2,0
"monkey",63,12989
"lion",49,6770
"lion",47,7042
"monkey",59,11207
"lion",34,5393
"zebra",68,7992
"zebra",38,7240
"lion",38,6306
"kangaroo",61,9983
"rabbit",37,2734
"lion",50,5487
"penguin",65,3468
"penguin",69,3906
"monkey",35,7708
"lion",61,7420
"camel",59,7474
"elephant",9,0
"penguin",73,4435
"penguin",48,3198
"kangaroo",27,5919
"rabbit",39,4352
"penguin",51,6950
"monkey",71,13087
"monkey",70,14751
"camel",32,3321
"bear",75,8142
"rabbit",31,3541
"bear",52,7129
"penguin",58,2802
"bear",63,7450
"monkey",49,8286
"penguin",68,4546
"monkey",71,13201
"bear",35,6604
"lion",58,7912
"bear",25,4504
"kangaroo",57,9362
"kangaroo",27,6491
"penguin",59,4807
"penguin",28,2573
"lion",65,8216
"monkey",33,9780
"kangaroo",52,7898
"monkey",48,8647
"kangaroo",60,8178
"zebra",68,10030
"kangaroo",43,7866
"bear",44,4958
"penguin",38,5208
"bear",61,7892
"bear",67,6900
"elephant",1,0
"zebra",44,7890
"monkey",51,9837
"penguin",34,4570
"penguin",37,5266
"kangaroo",30,4666
"kangaroo",55,10336
"rabbit",47,3571
"zebra",66,10707
"zebra",58,7132
"bear",64,8150
"bear",41,5094
"lion",38,5241
"bear",38,4211
"zebra",35,5886
"lion",67,7934
"zebra",27,6349
"kangaroo",52,7520
"monkey",55,11553
"elephant",3,0
"bear",44,6234
"penguin",58,5987
"monkey",68,12068
"kangaroo",48,9704
"rabbit",74,5186
"penguin",40,4110
"lion",58,7486
"koala",10,0
"camel",31,3880
"monkey",26,8252
"penguin",48,2770
"bear",29,3014
"zebra",36,5518
"monkey",32,7521
"bear",39,5605
"kangaroo",69,9055
"fox",9,0
"camel",31,4745
"monkey",45,9516
"bear",54,4989
"bear",75,9590
"monkey",29,7129
"zebra",33,5058
"kangaroo",71,10108
"elephant",3,0
"bear",39,5173
"kangaroo",43,8671
"penguin",26,4244
"bear",61,6451
"kangaroo",51,8157
"bear",60,5409
"camel",70,8059
"monkey",74,15677
"camel",61,7883
"bear",75,8416
"lion",42,7357
"kangaroo",74,9419
"kangaroo",69,10093
"bear",44,4327
"monkey",69,13271
"penguin",70,4373
"elephant",2,0
"zebra",33,7192
"monkey",57,13439
"bear",34,6796
"penguin",59,7237
"elephant",8,0
"zebra",40,6255
"kangaroo",55,8302
"rabbit",26,3040
"lion",69,7549
"bear",41,4753
"rabbit",52,6010
"lion",51,8825
"lion",42,6074
"monkey",72,15067
"kangaroo",54,7503
"monkey",31,6970
"penguin",73,5167
"bear",42,5606
"penguin",28,5013
"monkey",48,8581
"fox",8,0
"bear",70,5067
"lion",40,6594
"monkey",31,10335
"rabbit",35,4485
"lion",59,6514
"bear",74,6478
"koala",4,0
"kangaroo",30,6097
"monkey",44,10477
"rabbit",67,4051
"elephant",7,0
"lion",63,6776
"kangaroo",44,6080
"bear",73,6465
"kangaroo",67,10984
"penguin",55,5158
"penguin",27,4458
"fox",2,0
"lion",37,5546
"bear",25,3621
"lion",56,7614
"bear",65,5294
"lion",70,7833
"fox",1,0
"koala",10,0
"monkey",48,10220
"penguin",73,3668
"penguin",31,4304
"bear",75,9259
"kangaroo",75,12970
"koala",8,0
"kangaroo",70,9866
"bear",43,5191
"penguin",68,4460
"rabbit",27,3264
"camel",38,5666
"bear",45,7336
"lion",31,5139
"bear",75,7926
"bear",48,6196
"lion",55,8385
"kangaroo",43,7656
"zebra",52,6821
"penguin",51,3263
"monkey",29,5205
"lion",43,6903
"penguin",44,4714
"lion",27,5516
"koala",2,0
"penguin",57,5027
"koala",4,0
"zebra",46,6161
"monkey",56,12159
"camel",30,5056
"fox",10,0
"penguin",66,4703
"camel",75,8747
"lion",73,8477
"penguin",29,3899
"monkey",53,11396
"rabbit",68,4952
"camel",43,6445
"penguin",36,4792
"monkey",51,11798
"fox",7,0
"monkey",45,8117
"rabbit",43,4161
"kangaroo",25,4570
"bear",56,6613
"koala",1,0
"bear",62,6985
"zebra",66,9491
"fox",8,0
"bear",63,6211
"penguin",53,4343
"monkey",68,13886
"rabbit",51,2118
"rabbit",44,3140
"monkey",60,11619
"kangaroo",27,5826
"bear",69,7354
"monkey",40,10276
"kangaroo",72,12346
"monkey",50,10309
"zebra",73,8863
"bear",34,4977
"penguin",72,7718
"zebra",58,7984
"kangaroo",32,6973
"zebra",73,10615
"lion",39,5368
"penguin",26,4143
"rabbit",50,4219
"lion",51,6142
"penguin",44,6306
"kangaroo",65,10964
"monkey",34,6418
"kangaroo",48,9642
"kangaroo",37,6164
"kangaroo",25,6237
"kangaroo",57,7932
"bear",64,7310
"penguin",59,5386
"bear",41,3432
"kangaroo",34,5294
"camel",27,4471
"bear",69,6632
"penguin",66,4484
"monkey",44,12092
"monkey",58,11933
"monkey",43,10064
"elephant",10,0
"kangaroo",45,3969
"rabbit",36,2882
"lion",67,6381
"camel",45,5365
"koala",3,0
"monkey",33,7881
"camel",52,7660
"bear",58,7105
"rabbit",55,3515
"koala",8,0
"fox",8,0
"monkey",38,8189
"penguin",57,4851
"penguin",62,5029
"kangaroo",26,7232
"fox",3,0
"bear",27,2848
"monkey",62,11220
"penguin",41,3767
"rabbit",51,2579
"elephant",6,0
"zebra",30,6355
"kangaroo",70,10633
"elephant",6,0
"penguin",34,3549
"penguin",69,4284
"penguin",33,3855
"kangaroo",43,8471
"zebra",54,6655
"camel",37,5537
"monkey",51,12169
"monkey",37,10069
"penguin",60,5322
"penguin",70,4409
"penguin",74,6455
"penguin",27,4957
"bear",34,5372
"bear",61,6080
"penguin",43,2112
"lion",67,9140
"kangaroo",55,7525
"penguin",29,2480
"rabbit",28,2080
"zebra",54,6978
"camel",50,6659
"elephant",9,0
"koala",5,0
"camel",75,8526
"rabbit",74,3835
"rabbit",73,5310
"monkey",31,8200
"penguin",25,3464
"monkey",69,11791
"penguin",52,4680
"lion",72,10294
"bear",51,5901
"fox",2,0
"lion",75,8559
"bear",26,3344
"bear",59,6083
"koala",3,0
"kangaroo",58,9903
"elephant",6,0
"rabbit",58,4321
"penguin",52,4686
"lion",75,8584
"camel",41,7322
"monkey",74,14188
"rabbit",68,5400
"lion",30,6751
"bear",39,5429
"monkey",31,6047
"monkey",37,8847
"elephant",9,0
"kangaroo",42,6554
"lion",42,4618
"koala",8,0
"kangaroo",67,11394
"kangaroo",59,9052
"bear",63,5344
"fox",8,0
"kangaroo",75,9768
"monkey",75,13311
"monkey",52,10889
"kangaroo",36,6659
"monkey",62,12137
"lion",26,6058
"lion",33,5391
"rabbit",73,4972
"lion",49,4693
"fox",1,0
"kangaroo",50,7390
"monkey",57,12317
"penguin",50,2252
"zebra",29,5741
"lion",57,5844
"lion",57,7748
"kangaroo",27,5527
"fox",10,0
"rabbit",74,4214
"kangaroo",39,6961
"penguin",57,3122
"kangaroo",72,11142
"koala",2,0
"lion",35,5420
"koala",10,0
"fox",6,0
"penguin",50,4865
"bear",35,5075
"kangaroo",58,9144
"lion",43,6918
"rabbit",60,4217
"penguin",59,5701
"bear",56,4931
"kangaroo",61,7911
"lion",72,8766
"penguin",46,4171
"monkey",27,8673
"lion",32,5879
"zebra",61,8852
"monkey",39,8944
"rabbit",74,6201
"rabbit",38,3197
"kangaroo",34,5775
"kangaroo",75,11884
"bear",49,4505
"monkey",57,10626
"lion",32,6410
"bear",60,7059
"kangaroo",41,7189
"kangaroo",29,8214
"zebra",44,7573
"penguin",25,4250
"lion",38,5873
"bear",75,8049
"penguin",56,2824
"penguin",47,3554
"zebra",44,8426
"elephant",3,0
"rabbit",49,5755
"camel",40,6015
"camel",51,8549
"koala",9,0
"penguin",58,6613
"lion",74,7755
"penguin",25,2584
"kangaroo",48,8055
"penguin",25,3376
"fox",7,0
"camel",61,8157
"kangaroo",57,8617
"bear",57,5927
"bear",36,4579
"lion",59,8519
"camel",75,8764
"penguin",38,5375
"penguin",38,4063
"kangaroo",43,8338
"monkey",41,10561
"kangaroo",41,5881
"zebra",42,6934
"penguin",45,3935
"lion",66,9100
"kangaroo",48,8417
"lion",50,8343
"penguin",72,5336
"lion",25,3166
"monkey",71,14534
"elephant",2,0
"lion",48,7330
"monkey",64,11240
"bear",71,7804
"bear",27,3714
"zebra",52,6941
"penguin",32,3887
"bear",43,6256
"camel",51,6485
"rabbit",57,5244
"koala",10,0
"penguin",62,5733
"lion",64,9941
"monkey",45,10628
"kangaroo",52,7538
"zebra",31,5937
"bear",71,9989
"bear",31,5232
"bear",42,4601
"zebra",33,6367
"koala",6,0
"penguin",65,4876
"bear",75,7380
"monkey",68,11162
"zebra",46,5198
"rabbit",27,3968
"monkey",30,8057
"kangaroo",48,7073
"kangaroo",35,6940
"lion",60,8318
"koala",8,0
"lion",71,9726
"lion",28,7040
"penguin",63,5075
"penguin",63,3617
"kangaroo",36,6434
"kangaroo",49,7144
"elephant",7,0
"lion",74,7750
"lion",62,7881
"penguin",49,3299
"lion",50,6924
"monkey",55,10181
"monkey",60,12580
"monkey",37,8132
"bear",68,8002
"penguin",31,2708
"bear",68,7349
"monkey",40,8161
"kangaroo",65,10809
"monkey",60,13716
"penguin",33,4726
"lion",43,7006
"monkey",49,8745
"lion",57,8659
"penguin",74,4652
"elephant",6,0
"penguin",58,4855
"camel",49,7556
"kangaroo",35,7114
"koala",2,0
"monkey",61,11559
"koala",8,0
"elephant",8,0
"koala",5,0
"kangaroo",72,10281
"penguin",67,4930
"kangaroo",33,4211
"penguin",58,5077
"kangaroo",60,8837
"kangaroo",46,7023
"bear",64,8515
"penguin",53,4667
"kangaroo",54,7751
"kangaroo",52,7611
"monkey",47,11311
"lion",38,6488
"penguin",39,4523
"kangaroo",67,10642
"bear",27,5616
"monkey",48,9306
"lion",60,7012
"penguin",70,4836
"rabbit",46,3598
"bear",39,5984
"monkey",44,9999
"koala",7,0
"bear",46,5777
"camel",71,8543
"monkey",66,14537
"penguin",47,5525
"rabbit",72,4807
"bear",41,4734
"kangaroo",62,6719
"lion",62,7777
"lion",44,5290
"bear",62,7137
"kangaroo",61,10047
"kangaroo",44,8517
"rabbit",69,3410
"bear",41,4097
"lion",54,6705
"penguin",60,4842
"kangaroo",44,6949
"kangaroo",43,6145
"zebra",40,7101
"kangaroo",68,8877
"lion",53,6921
"monkey",52,9463
"monkey",72,13524
"lion",60,8950
"koala",9,0
"rabbit",47,4658
"rabbit",39,3502
"kangaroo",32,7261
"kangaroo",52,7114
"monkey",61,13005
"kangaroo",41,8489
"elephant",10,0
"zebra",34,6441
"penguin",71,4494
"lion",64,8542
"lion",44,6878
"bear",53,5272
"kangaroo",63,8817
"fox",10,0
"monkey",60,11347
"bear",63,6245
"bear",33,6191
"lion",57,9623
"elephant",1,0
"kangaroo",54,8335
"elephant",10,0
"lion",46,7039
"monkey",53,11834
"lion",53,5918
"lion",60,6557
"monkey",34,9314
"lion",38,6443
"lion",70,7177
"monkey",67,13167
"camel",51,7544
"monkey",28,7828
"penguin",35,3761
"penguin",31,3335
"bear",70,6710
"penguin",36,3880
"zebra",66,8166
"bear",49,5212
"kangaroo",39,8127
"bear",45,6128
"rabbit",25,3969
"bear",50,4418
"penguin",46,3236
"lion",50,6784
"zebra",25,6599
"kangaroo",57,10409
"monkey",28,7264
"monkey",57,12443
"bear",26,4571
"bear",37,4057
"lion",58,6900
"penguin",66,5467
"camel",48,6874
"penguin",49,5879
"zebra",46,7675
"lion",26,6526
"fox",4,0
"camel",35,7459
"penguin",73,3316
"monkey",67,13220
"zebra",61,7342
"penguin",42,5801
"penguin",60,4211
"bear",52,6552
"koala",4,0
"rabbit",57,4990
"bear",26,5445
"lion",49,8655
"monkey",62,11564
"kangaroo",49,8274
"kangaroo",44,8954
"kangaroo",57,9227
"kangaroo",34,6520
"lion",58,8411
"kangaroo",47,7780
"zebra",34,5224
"lion",44,5395
"bear",61,5857
"penguin",64,5921
"lion",50,7403
"lion",57,6232
"penguin",44,3963
"bear",29,4844
"bear",32,5303
"monkey",30,7831
"bear",28,5731
"monkey",34,7861
"kangaroo",40,6197
"lion",71,8269
"monkey",68,13410
"camel",73,7907
"monkey",49,10903
"koala",5,0
"camel",44,6327
"bear",28,3953
"bear",28,1869
"monkey",37,6668
"kangaroo",25,6767
"monkey",40,9025
"bear",75,6760
"elephant",10,0
"monkey",68,12924
"penguin",46,5084
"lion",35,4194
"elephant",5,0
"monkey",29,7320
"bear",49,6600
"lion",27,6657
"zebra",34,4314
"monkey",51,9175
"lion",41,7075
"penguin",75,5775
"monkey",72,15761
"bear",54,5780
"fox",8,0
"elephant",5,0
"penguin",39,4095
"bear",46,7557
"camel",34,6506
"rabbit",33,3709
"monkey",57,11114
"lion",68,8851
"penguin",55,3363
"camel",47,6467
"penguin",45,4896
"monkey",72,14547
"camel",55,6872
"rabbit",52,3334
"penguin",26,3419
"zebra",33,4788
"elephant",9,0
"lion",50,9009
"lion",54,7130
"penguin",49,6599
"kangaroo",34,6454
"lion",25,5455
"bear",60,5925
"kangaroo",75,10640
"lion",67,7132
"lion",29,5737
"kangaroo",30,6321
"koala",10,0
"kangaroo",65,10261
"bear",75,7243
"zebra",52,8205
"koala",3,0
"penguin",62,6421
"monkey",69,14283
"lion",38,6565
"monkey",45,9754
"kangaroo",67,10770
"koala",1,0
"camel",53,8833
"monkey",68,12749
"kangaroo",66,9742
"penguin",45,4260
"elephant",8,0
"camel",62,7191
"monkey",39,8166
"penguin",73,5329
"bear",75,8983
"lion",56,5158
"bear",34,4071
"kangaroo",39,5939
"kangaroo",74,11454
"penguin",61,4982
"lion",29,6613
"penguin",31,3922
"lion",55,7845
"penguin",38,4578
"penguin",29,4859
"fox",3,0
"monkey",41,7114
"bear",28,4863
"penguin",53,4214
"penguin",52,4204
"penguin",50,3523
"zebra",32,5973
"bear",46,6714
"penguin",25,3479
"rabbit",47,3587
"penguin",61,6541
"penguin",72,4954
"bear",31,7176
"bear",47,6397
"lion",67,7246
"lion",59,8446
"camel",45,7094
"monkey",34,6760
"rabbit",65,3097
"monkey",60,13016
"penguin",30,5555
"bear",49,4314
"lion",61,10690
"monkey",40,9048
"monkey",44,9216
"penguin",37,4901
"lion",54,6616
"camel",61,7883
"fox",2,0
"camel",31,4635
"monkey",58,10975
"koala",10,0
"penguin",69,6409
"zebra",55,7538
"camel",44,5675
"elephant",10,0
"lion",72,9858
"lion",68,8002
"kangaroo",34,6143
"kangaroo",36,6867
"bear",44,5393
"penguin",43,5788
"monkey",35,9017
"lion",59,6432
"bear",54,6380
"fox",1,0
"bear",41,4633
"penguin",35,3348
"bear",26,3797
"lion",29,6350
"lion",61,9113
"lion",52,6291
"bear",39,6156
"bear",59,7673
"bear",62,6000
"bear",66,6151
"monkey",75,13393
"lion",38,7809
"kangaroo",69,8938
"bear",53,7591
"penguin",61,6382
"lion",65,9328
"bear",50,7684
"monkey",48,8474
"elephant",3,0
"kangaroo",55,8532
"kangaroo",72,10484
"lion",27,5831
"kangaroo",70,9549
"monkey",60,12769
"bear",67,5769
"penguin",47,6282
"zebra",65,9047
"bear",51,6906
"rabbit",72,4265
"bear",65,5610
"lion",53,7671
"lion",62,6776
"penguin",59,3173
"zebra",41,4479
"zebra",39,3798
"rabbit",27,4558
"lion",25,4945
"camel",75,8411
"penguin",61,3170
"lion",57,7938
"lion",54,9395
"monkey",58,11531
"bear",67,6912
"lion",66,8315
"bear",72,7345
"fox",3,0
"kangaroo",29,5256
"penguin",57,5687
"penguin",47,5232
"monkey",55,11983
"lion",61,9626
"kangaroo",73,11030
"lion",41,7931
"elephant",4,0
"penguin",43,3768
"kangaroo",58,8990
"koala",5,0
"elephant",3,0
"zebra",54,7269
"monkey",27,7654
"penguin",30,3747
"lion",35,5010
"camel",30,5940
"kangaroo",68,9315
"kangaroo",69,9000
"rabbit",27,2862
"lion",40,6562
"monkey",30,8127
"penguin",37,4238
"elephant",7,0
"penguin",48,4193
"penguin",61,4451
"kangaroo",60,8670
"fox",7,0
"monkey",69,13588
"lion",25,4714
"elephant",3,0
"lion",29,4813
"kangaroo",38,6587
"penguin",42,5518
"lion",49,7547
"penguin",36,3913
"lion",47,5104
"penguin",33,5123
"zebra",25,3619
"bear",60,6437
"monkey",46,9412
"kangaroo",50,7379
"kangaroo",65,7407
"penguin",56,4944
"kangaroo",32,6738
"penguin",48,5481
"kangaroo",71,11075
"bear",33,5063
"kangaroo",27,4610
"koala",9,0
"monkey",25,7520
"monkey",66,12683
"bear",48,7507
"penguin",40,4006
"koala",6,0
"monkey",44,10240
"penguin",57,4263
"lion",63,9874
"lion",61,8250
"monkey",47,9528
"bear",48,4476
"bear",64,6509
"monkey",71,13886
"monkey",55,11117
"bear",41,3941
"lion",57,9557
"elephant",5,0
"monkey",59,11037
"bear",50,6091
"elephant",10,0
"bear",59,5684
"monkey",66,12527
"koala",10,0
"bear",53,5935
"kangaroo",57,9150
"rabbit",30,3470
"zebra",31,5727
"bear",69,6410
"lion",47,4310
"rabbit",42,3133
"monkey",54,12093
"kangaroo",74,11972
"kangaroo",63,10955
"bear",28,3193
"monkey",52,10117
"lion",68,9492
"koala",2,0
"lion",56,6098
"penguin",47,3446
"monkey",58,11838
"lion",63,6405
"kangaroo",66,10726
"camel",55,4853
"kangaroo",46,6056
"penguin",40,2837
"elephant",1,0
"penguin",50,3779
"lion",48,7028
"camel",66,7323
"monkey",51,9958
"kangaroo",48,5824
"bear",52,6514
"kangaroo",64,8414
"elephant",1,0
"bear",42,6103
"fox",5,0
"monkey",67,13502
"monkey",72,15054
"lion",65,7488
"rabbit",72,5044
"elephant",7,0
"lion",41,7720
"bear",61,6376
"monkey",48,11456
"bear",59,7145
"camel",73,8676
"penguin",68,6236
"monkey",73,13816
"kangaroo",44,8700
"zebra",32,5001
"lion",40,5402
"monkey",60,10398
"lion",53,8483
"monkey",75,14174
"penguin",63,5423
"kangaroo",68,9643
"lion",47,4992
"koala",9,0
"penguin",59,5316
"penguin",45,5385
"lion",30,6084
"zebra",32,3907
"monkey",34,9165
"bear",67,7641
"lion",52,7473
"penguin",71,6672
"koala",3,0
"elephant",10,0
"koala",3,0
"lion",60,7856
"penguin",47,5543
"koala",6,0
"monkey",58,14281
"lion",31,6516
"penguin",63,4560
"rabbit",72,6684
"lion",58,9584
"rabbit",29,3096
"lion",56,7859
"lion",71,7201
"penguin",44,2873
"penguin",57,5257
"lion",69,7522
"camel",68,8890
"elephant",6,0
"penguin",45,4214
"kangaroo",48,10037
"penguin",74,4447
"zebra",45,6520
"kangaroo",46,7099
"fox",5,0
"camel",59,6036
"camel",62,4984
"rabbit",25,4203
"monkey",53,12798
"fox",7,0
"lion",51,8468
"bear",45,4804
"kangaroo",28,6621
"rabbit",42,6415
"fox",4,0
"penguin",42,5267
"rabbit",25,1598
"lion",61,8855
"kangaroo",75,9927
"koala",7,0
"penguin",63,5952
"lion",27,6484
"bear",36,6329
"penguin",57,3005
"penguin",26,3986
"camel",59,7836
"monkey",48,8964
"bear",34,4751
"camel",30,5257
"koala",2,0
"zebra",43,4735
"bear",50,5566
"kangaroo",57,9688
"koala",9,0
"zebra",31,5079
"monkey",54,10469
"bear",75,8017
"lion",29,6237
"penguin",74,5689
"elephant",9,0
"lion",75,7872
"monkey",53,11403
"rabbit",70,4271
"penguin",70,6176
"lion",61,9516
"zebra",31,5780
"bear",66,9153
"bear",33,3427
"kangaroo",26,5769
"kangaroo",54,8045
"lion",53,6751
"fox",2,0
"lion",37,7237
"camel",38,5543
"penguin",44,3477
"camel",40,5438
"fox",9,0
"penguin",29,2704
"monkey",53,11465
"bear",45,6654
"penguin",69,4712
"monkey",40,10394
"penguin",74,7018
"kangaroo",41,8582
"bear",28,2623
"penguin",62,4723
"monkey",38,10252
"lion",74,10572
"penguin",50,5632
"fox",8,0
"kangaroo",44,4098
"kangaroo",65,10552
"camel",29,7032
"penguin",46,4288
"lion",31,5961
"kangaroo",39,7771
"kangaroo",51,10171
"penguin",31,3274
"kangaroo",38,7546
"zebra",68,9793
"monkey",48,9819
"kangaroo",65,10183
"kangaroo",54,7442
"kangaroo",39,6858
"bear",36,5243
"koala",6,0
"penguin",45,4821
"rabbit",31,4449
"zebra",66,9683
"bear",25,3062
"fox",9,0
"koala",7,0
"zebra",67,9844
"bear",41,5815
"kangaroo",25,6733
"monkey",29,7808
"monkey",39,8589
"penguin",46,3097
"monkey",45,10737
"camel",29,3658
"bear",57,7617
"monkey",75,13523
"monkey",75,16373
"koala",10,0
"penguin",54,5804
"penguin",70,3804
"monkey",48,10018
"monkey",66,12274
"penguin",46,4180
"monkey",51,9526
"lion",55,6830
"fox",10,0
"kangaroo",68,10554
"penguin",74,3979
"kangaroo",64,11494
"kangaroo",39,6193
"camel",69,8773
"lion",74,9132
"camel",64,7545
"bear",74,7343
"lion",34,5696
"penguin",61,4398
"monkey",36,8322
"penguin",70,5761
"penguin",50,6238
"lion",63,9365
"monkey",72,14070
"lion",59,8417
"zebra",58,7383
"lion",50,5555
"monkey",42,11054
"monkey",48,10576
"monkey",53,11350
"monkey",70,13366
"monkey",75,14657
"kangaroo",57,6766
"rabbit",73,4117
"bear",62,6683
"lion",73,7515
"monkey",66,12022
"penguin",64,6277
"lion",54,7981
"koala",6,0
"lion",53,9103
"kangaroo",33,6837
"monkey",29,6629
"lion",60,8363
"kangaroo",30,4061
"fox",6,0
"rabbit",59,3984
"monkey",53,11505
"monkey",36,8027
"elephant",10,0
"monkey",36,9025
"bear",53,5925
"lion",66,8309
"kangaroo",58,9427
"monkey",66,13264
"koala",6,0
"kangaroo",71,11298
"monkey",54,11231
"bear",49,7118
"koala",1,0
"bear",26,3132
"monkey",72,15063
"bear",47,7058
"penguin",59,5650
"elephant",8,0
"monkey",64,15748
"fox",5,0
"camel",55,7549
"elephant",10,0
"kangaroo",48,7462
"lion",48,6615
"monkey",53,9255
"bear",35,4084
"monkey",52,11375
"lion",67,9365
"lion",62,7853
"lion",39,6366
"kangaroo",46,10656
"monkey",33,8303
"lion",68,8451
"rabbit",36,3208
"bear",49,4582
"monkey",44,9834
"bear",63,6201
"monkey",43,8630
"bear",33,4727
"monkey",70,15702
"rabbit",64,3542
"lion",72,7551
"koala",7,0
"elephant",5,0
"penguin",38,5180
"monkey",52,11935
"koala",4,0
"zebra",68,8942
"rabbit",69,3535
"koala",1,0
"lion",59,8780
"monkey",63,12317
"elephant",8,0
"monkey",48,11797
"penguin",45,3785
"koala",5,0
"monkey",25,3917
"penguin",27,3641
"kangaroo",66,10258
"bear",74,7519
"zebra",56,5927
"bear",55,5684
"lion",52,6109
"monkey",64,13472
"lion",69,6537
"monkey",71,14032
"rabbit",37,1634
"bear",67,7965
"lion",64,8703
"lion",69,12169
"lion",53,7821
"koala",9,0
"monkey",31,8054
"monkey",34,8330
"rabbit",26,2645
"koala",5,0
"bear",27,3836
"elephant",8,0
"bear",33,5713
"rabbit",60,6434
"lion",59,8679
"elephant",8,0
"penguin",57,5243
"penguin",52,7199
"fox",1,0
"bear",56,8211
"bear",71,5194
