ID,Program.Code,From.Grade,To.Grade,Group.State,Is.Non.Annual.,Days,Travel.Type,Departure.Date,Return.Date,Deposit.Date,Special.Pay,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Early.RPL,Latest.RPL,Cancelled.Pax,Total.Discount.Pax,Initial.System.Date,Poverty.Code,Region,CRM.Segment,School.Type,Parent.Meeting.Flag,MDR.Low.Grade,MDR.High.Grade,Total.School.Enrollment,Income.Level,EZ.Pay.Take.Up.Rate,School.Sponsor,SPR.Product.Type,SPR.New.Existing,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,SchoolSizeIndicator,Retained.in.2012.
608,HD,8,8,CA,0,6,A,40642,40647,40482,NA,2192,23,5,0.548,40235,40421,5,4,40236,A,Northern California,5,PUBLIC,1,5,8,540,P,0.357,0,East Coast,EXISTING,42,46,2192,2,40317,40437,325,205,Middle,Middle,Middle->Middle,April,Elementary,Middle,Elementary->Middle,H,1,0.077777778,0.913043478,4,S-M,1
609,HD,8,8,TX,0,6,A,40642,40647,40466,FR,2210,13,0,0.765,40221,40424,0,2,40221,,Houston,10,CHD,1,PK,8,277,A,0.059,1,East Coast,EXISTING,17,19,2210,1,40423,40423,219,219,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,H,1,0.061371841,0.894736842,2,S,1
610,HD,8,8,TX,0,6,A,40642,40647,40459,NA,1945,22,1,0.733,40203,40407,1,5,40199,,Houston,5,CHD,1,PK,8,426,Q,0.133,0,East Coast,EXISTING,30,35,1945,2,40204,40408,438,234,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,H,1,0.070422535,0.857142857,5,S-M,1
611,HC,8,8,CA,0,6,A,40642,40647,40466,NA,2549,10,1,0.588,40239,40415,2,2,40236,,Southern California,5,CHD,1,K,8,,O,0.059,0,East Coast,EXISTING,17,19,2549,1,40449,40449,193,193,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,H,1,NA,0.894736842,2,,1
612,CD,7,8,CA,1,6,A,40642,40647,40466,NA,2075,17,3,0.63,40231,40409,5,3,40232,,Northern California,10,CHD,1,PK,12,350,K,0.037,1,East Coast,EXISTING,27,30,2075,1,40416,40416,226,226,Middle,Middle,Middle->Middle,April,PK,High,PK->High,C,0,0.077142857,0.9,3,S-M,1
613,CD,NA,NA,CA,0,6,A,40642,40647,40512,NA,1400,28,6,0.394,NA,40492,6,9,40493,,Southern California,5,CHD,1,PK,10,1000,Q,0,0,East Coast,NEW,71,80,1400,1,40499,40499,143,143,Undefined,Undefined,Undefined->Undefined,April,PK,High,PK->High,C,0,0.071,0.8875,9,L,1
614,HD,8,8,CA,0,6,A,40642,40648,40452,NA,2129,41,0,0.683,40297,40297,0,5,40288,,Northern California,5,Private non-Christian,0,6,12,414,Q,0.15,0,East Coast,EXISTING,60,65,2129,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,April,Middle,High,Middle->High,H,1,0.144927536,0.923076923,5,S-M,0
615,HD,8,8,CA,0,6,A,40642,40648,40485,NA,2399,31,1,0.721,40273,40415,1,5,40270,,Southern California,5,Private non-Christian,1,K,8,400,Q,0.14,0,East Coast,EXISTING,43,48,2399,1,40442,40442,200,200,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,H,1,0.1075,0.895833333,5,S-M,1
616,HD,NA,NA,CA,0,7,A,40642,40648,40452,NA,2108,6,3,0.462,40333,40421,3,1,40334,B,Southern California,5,PUBLIC,1,K,8,520,O,0.077,0,East Coast,NEW,13,14,2108,1,40450,40450,192,192,Undefined,Undefined,Undefined->Undefined,April,K,Middle,K->Middle,H,0,0.025,0.928571429,1,S-M,0
617,HD,8,8,CA,0,7,A,40642,40648,40482,NA,2108,17,2,0.447,40281,40422,3,2,40281,B,Southern California,5,PUBLIC,1,K,8,1054,O,0.211,0,East Coast,EXISTING,38,40,2108,1,40435,40435,207,207,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,H,1,0.036053131,0.95,2,L,1
618,HC,8,8,CA,0,7,A,40642,40648,40466,FR,2490,20,1,0.645,40252,40415,4,2,40249,B,Northern California,5,PUBLIC,1,6,8,1209,Q,0.065,0,East Coast,EXISTING,31,33,2490,1,40427,40427,215,215,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.025641026,0.939393939,2,L,1
619,HD,8,8,CA,0,7,A,40642,40648,40483,NA,2326,14,2,0.778,40235,40406,2,2,40236,,Northern California,1,Private non-Christian,1,K,8,211,O,0.222,0,East Coast,EXISTING,18,20,2326,1,40409,40409,233,233,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,H,1,0.085308057,0.9,2,S,1
620,HD,8,8,CA,0,8,A,40642,40649,40471,NA,2359,14,1,0.412,NA,40445,1,4,40292,,Northern California,5,Private non-Christian,0,PK,8,378,Q,0.265,1,East Coast,EXISTING,34,38,2359,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,H,1,0.08994709,0.894736842,4,S-M,1
621,HD,7,7,IL,0,9,B,40642,40650,40459,NA,1569,28,5,0.622,40312,40424,6,3,40312,A,Other,5,PUBLIC,1,7,8,770,P,0.356,0,East Coast,EXISTING,45,48,1569,1,40428,40428,214,214,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.058441558,0.9375,3,M-L,1
622,HN,8,8,CA,0,4,A,40643,40646,40473,NA,2641,3,4,0.429,40255,40410,4,1,40254,A,Northern California,5,PUBLIC,1,6,8,1050,Q,0.143,0,East Coast,EXISTING,7,8,2641,2,40318,40435,325,208,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.006666667,0.875,1,L,1
623,HD,8,8,MI,0,5,B,40643,40647,40466,NA,872,7,2,0.07,40242,40435,4,8,40206,D,Other,10,PUBLIC,1,6,12,680,C,0.09,0,East Coast,EXISTING,100,108,872,1,40442,40442,201,201,Middle,Middle,Middle->Middle,April,Middle,High,Middle->High,H,1,0.147058824,0.925925926,8,M-L,1
624,HD,8,9,CA,0,5,A,40643,40647,40452,NA,1966,9,4,0.6,40242,40456,4,1,40241,C,Southern California,10,PUBLIC,1,K,8,1149,M,0.2,0,East Coast,NEW,15,16,1966,2,40288,40436,355,207,Middle,High,Middle->High,April,K,Middle,K->Middle,H,0,0.01305483,0.9375,1,L,1
625,HC,8,8,CO,0,5,A,40643,40647,40466,NA,1593,40,4,0.8,40247,40410,4,6,40247,B,Other,5,PUBLIC,1,6,8,637,P,0.34,0,East Coast,EXISTING,50,56,1593,1,40423,40423,220,220,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.078492936,0.892857143,6,M-L,1
626,CD,8,8,WA,0,6,A,40643,40648,40466,NA,2048,12,1,0.857,40256,40431,1,1,40256,,Pacific Northwest,5,CHD,1,PK,12,350,F,0.214,1,East Coast,EXISTING,14,15,2048,1,40443,40443,200,200,Middle,Middle,Middle->Middle,April,PK,High,PK->High,C,1,0.04,0.933333333,1,S-M,1
627,HD,5,5,CA,0,6,A,40643,40648,40483,NA,2216,17,0,0.68,40294,40420,0,2,40292,A,Northern California,5,PUBLIC,1,K,8,360,Z,0.04,0,East Coast,EXISTING,25,27,2216,1,40315,40315,328,328,Elementary,Elementary,Elementary->Elementary,April,K,Middle,K->Middle,H,1,0.069444444,0.925925926,2,S-M,1
628,HD,8,8,CA,0,6,A,40643,40648,40480,NA,2129,13,2,0.482,40297,40431,4,3,40297,B,Southern California,5,PUBLIC,1,K,8,950,O,0.074,0,East Coast,EXISTING,27,30,2129,1,40451,40451,192,192,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,H,1,0.028421053,0.9,3,L,1
629,HD,8,8,CA,1,5,A,40643,40648,40466,NA,1829,13,2,0.52,40234,40414,2,1,40234,,Northern California,10,Catholic,1,K,8,170,J,0.16,0,East Coast,EXISTING,25,26,1829,1,40422,40422,221,221,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,H,1,0.147058824,0.961538462,1,S,0
630,CD,7,8,CA,1,6,A,40643,40648,40452,NA,1999,21,5,0.7,40231,40414,5,3,40229,,Northern California,5,CHD,1,PK,12,280,O,0.267,1,East Coast,EXISTING,30,33,1999,1,40431,40431,212,212,Middle,Middle,Middle->Middle,April,PK,High,PK->High,C,0,0.107142857,0.909090909,3,S,0
631,CD,8,8,CA,0,6,A,40643,40648,40446,NA,2144,4,1,0.5,40284,40414,1,1,40283,,Northern California,10,CHD,1,K,6,165,L,0.125,1,East Coast,EXISTING,8,9,2144,1,40420,40420,223,223,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,C,1,0.048484848,0.888888889,1,S,0
632,CD,8,8,CA,0,6,A,40643,40648,40454,NA,1899,12,4,0.414,40284,40350,6,3,40275,,Southern California,10,CHD,1,K,8,145,J,0.172,1,East Coast,EXISTING,29,32,1899,1,40435,40435,208,208,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,C,1,0.2,0.90625,3,S,1
633,HD,8,8,CA,0,6,A,40643,40648,40330,NA,2218,26,0,0.619,40220,40220,0,4,40219,,Northern California,5,Catholic,1,PK,12,565,M,0.143,0,East Coast,EXISTING,42,46,2218,1,40254,40254,389,389,Middle,Middle,Middle->Middle,April,PK,High,PK->High,H,1,0.074336283,0.913043478,4,S-M,1
634,HD,8,8,CA,0,6,A,40643,40648,40466,NA,2567,5,1,0.313,40305,40415,1,2,40305,,Northern California,10,Catholic,0,K,8,162,O,0,0,East Coast,EXISTING,16,18,2567,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,H,1,0.098765432,0.888888889,2,S,1
635,HD,7,8,CA,0,5,A,40643,40648,40492,NA,1999,6,2,0.6,NA,40420,4,1,40416,,Southern California,5,Catholic,1,1,8,280,G,0.1,0,East Coast,NEW,10,11,1999,1,40435,40435,208,208,Middle,Middle,Middle->Middle,April,Elementary,Middle,Elementary->Middle,H,0,0.035714286,0.909090909,1,S,1
636,CD,7,8,CA,1,7,A,40643,40649,40461,CP,2248,28,2,0.903,40420,40420,3,2,40059,,Southern California,10,CHD,1,PK,8,220,G,0.194,1,East Coast,EXISTING,31,33,2248,1,40437,40437,206,206,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,C,0,0.140909091,0.939393939,2,S,0
637,CC,8,8,CA,0,6,A,40643,40649,40330,NA,2299,9,1,0.346,40296,40296,2,1,40275,,Southern California,10,CHD,1,K,12,205,O,0.115,0,East Coast,EXISTING,26,27,2299,2,40315,40435,328,208,Middle,Middle,Middle->Middle,April,K,High,K->High,C,1,0.126829268,0.962962963,1,S,1
638,CD,8,8,OH,0,6,B,40643,40649,40487,NA,962,38,2,0.633,40212,40394,2,3,40211,,Other,10,CHD,1,7,12,652,K,0.383,0,East Coast,EXISTING,60,63,962,2,40277,40421,366,222,Middle,Middle,Middle->Middle,April,Middle,High,Middle->High,C,1,0.09202454,0.952380952,3,M-L,1
639,HS,4,4,CA,0,1,A,40644,40644,40512,CP,406,15,4,0.625,40310,40434,4,1,40311,,Southern California,4,CHD,0,PK,6,299,P,0.042,1,CA History,EXISTING,24,25,406,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,April,PK,Middle,PK->Middle,H,1,0.080267559,0.96,1,S,1
640,HS,4,4,CA,0,2,A,40644,40645,40512,NA,598,11,5,0.55,40242,40424,7,1,40241,B,Southern California,4,PUBLIC,1,K,6,465,Q,0.05,0,CA History,NEW,20,21,598,1,40302,40302,342,342,Elementary,Elementary,Elementary->Elementary,April,K,Middle,K->Middle,H,1,0.043010753,0.952380952,1,S-M,0
641,HS,4,6,CA,0,2,A,40644,40645,40512,NA,595,12,12,0.546,40221,40441,14,1,40221,B,Southern California,4,PUBLIC,1,PK,6,622,O,0.227,0,CA History,NEW,22,23,595,1,40260,40260,384,384,Elementary,Middle,Elementary->Middle,April,PK,Middle,PK->Middle,H,0,0.035369775,0.956521739,1,M-L,0
642,HS,4,6,CA,0,2,A,40644,40645,40512,NA,598,7,5,0.583,40269,40441,8,1,40257,B,Southern California,4,PUBLIC,1,PK,6,407,O,0.25,0,CA History,NEW,12,13,598,1,40290,40290,354,354,Elementary,Middle,Elementary->Middle,April,PK,Middle,PK->Middle,H,0,0.029484029,0.923076923,1,S-M,0
643,HD,8,8,MA,0,4,T,40644,40647,40478,NA,879,58,5,0.274,NA,40434,3,29,40305,A,Other,5,PUBLIC,1,6,8,666,Q,0.137,0,East Coast,EXISTING,212,241,879,1,40465,40465,179,179,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.318318318,0.87966805,29,M-L,1
644,HO,7,8,CA,1,3,A,40644,40647,40497,NA,2211,1,4,0.2,40231,40435,6,1,40229,B,Southern California,5,PUBLIC,0,K,8,570,L,0.2,0,East Coast,EXISTING,5,6,2211,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,H,0,0.00877193,0.833333333,1,S-M,0
645,HD,8,8,CA,0,5,A,40644,40648,40473,NA,1980,11,3,0.579,40252,40420,6,2,40249,B,Southern California,5,PUBLIC,1,7,12,1606,O,0.211,0,East Coast,EXISTING,19,21,1980,1,40429,40429,215,215,Middle,Middle,Middle->Middle,April,Middle,High,Middle->High,H,1,0.011830635,0.904761905,2,L,0
646,HD,8,8,TX,0,5,A,40644,40648,40330,FR,1875,21,2,0.6,40210,40210,2,3,40207,,Houston,10,CHD,1,PK,12,335,M,0.371,0,East Coast,EXISTING,35,38,1875,1,40421,40421,223,223,Middle,Middle,Middle->Middle,April,PK,High,PK->High,H,1,0.104477612,0.921052632,3,S,1
647,HD,8,8,CA,0,5,A,40644,40648,40466,NA,1910,8,1,0.727,40298,40413,2,1,40298,B,Northern California,5,PUBLIC,1,6,8,850,J,0.091,1,East Coast,EXISTING,11,12,1910,1,40437,40437,207,207,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.012941176,0.916666667,1,L,0
648,HD,8,8,TX,0,5,A,40644,40648,40337,SA,1849,0,0,0,40301,40400,2,4,40236,,Houston,5,Catholic,1,PK,12,636,Q,0,1,East Coast,EXISTING,41,45,1849,1,40417,40417,227,227,Middle,Middle,Middle->Middle,April,PK,High,PK->High,H,1,0.064465409,0.911111111,4,M-L,1
649,CD,6,8,MA,1,5,B,40644,40648,40460,NA,824,24,4,0.48,40231,40437,3,4,40228,,Other,1,CHD,1,PK,8,104,P,0.36,1,East Coast,EXISTING,50,54,824,1,40442,40442,202,202,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,C,0,0.480769231,0.925925926,4,S,0
650,HC,8,8,CA,0,5,A,40644,40648,40466,FR,2100,3,3,0.167,40303,40415,6,3,40282,C,Southern California,10,PUBLIC,1,6,8,809,E,0.111,0,East Coast,EXISTING,18,21,2100,1,40430,40430,214,214,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.022249691,0.857142857,3,M-L,1
651,HD,7,8,CA,0,5,A,40644,40648,40452,NA,1999,11,6,0.647,40261,40413,7,1,40261,,Northern California,1,Catholic,1,K,8,135,J,0.118,0,East Coast,NEW,17,18,1999,2,40331,40423,313,221,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,H,0,0.125925926,0.944444444,1,S,0
652,HD,8,8,AZ,0,5,A,40644,40648,40466,CP,1749,10,1,0.625,40304,40470,2,2,40304,,Other,5,Catholic,1,PK,12,323,Z,0,0,East Coast,EXISTING,16,18,1749,1,40438,40438,206,206,Middle,Middle,Middle->Middle,April,PK,High,PK->High,H,1,0.049535604,0.888888889,2,S,1
653,HD,8,8,IN,0,5,B,40644,40648,40330,SA,619,0,0,0,40294,40294,0,4,40275,,Other,10,Catholic,0,PK,8,381,H,0,1,East Coast,EXISTING,40,44,619,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,H,1,0.104986877,0.909090909,4,S-M,1
654,HD,8,8,CA,0,5,A,40644,40648,40483,NA,1992,45,1,0.692,40235,40420,1,6,40236,,Northern California,5,Catholic,1,PK,8,560,Q,0.277,0,East Coast,EXISTING,65,71,1992,2,40295,40423,349,221,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,H,1,0.116071429,0.915492958,6,S-M,1
655,HD,8,8,NC,0,5,B,40644,40648,40330,SA,942,0,0,0,40217,40217,1,4,40214,,Other,2,CHD,0,K,9,375,O,0,0,East Coast,EXISTING,37,41,942,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,April,K,High,K->High,H,1,0.098666667,0.902439024,4,S-M,1
656,HD,8,8,CO,0,5,A,40644,40648,40483,NA,1891,15,4,0.79,40226,40394,5,2,40227,B,Other,5,PUBLIC,1,PK,8,556,O,0.263,0,East Coast,NEW,19,21,1891,2,40227,40421,417,223,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,H,1,0.034172662,0.904761905,2,S-M,1
657,HD,8,8,CA,0,5,A,40644,40648,40466,NA,2160,8,3,0.381,NA,40414,6,2,40407,B,Northern California,5,PUBLIC,1,6,8,590,P,0.143,0,East Coast,EXISTING,21,23,2160,1,40430,40430,214,214,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.03559322,0.913043478,2,M-L,0
658,HD,8,8,CO,0,5,A,40644,40648,40501,NA,1891,5,0,0.417,NA,40471,3,1,40471,B,Other,5,PUBLIC,1,K,8,750,O,0,0,East Coast,NEW,12,13,1891,1,40484,40484,160,160,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,H,1,0.016,0.923076923,1,M-L,1
659,CN,5,6,OH,0,5,B,40644,40649,40330,SA,1259,0,0,0,40289,40289,5,4,40284,,Other,2,CHD,1,K,8,329,M,0,1,East Coast,EXISTING,22,26,1259,1,40477,40477,167,167,Elementary,Middle,Elementary->Middle,April,K,Middle,K->Middle,C,0,0.066869301,0.846153846,4,S,1
660,HD,NA,NA,PR,0,6,A,40644,40649,40456,NA,2029,41,13,0.672,NA,40415,10,12,40415,,Other,7,CHD,1,,NA,,,0.016,0,East Coast,NEW,61,73,2029,1,40422,40422,222,222,Undefined,Undefined,Undefined->Undefined,April,Undefined,Undefined,Undefined->Undefined,H,0,NA,0.835616438,12,,1
661,SC,7,8,UT,0,7,A,40644,40650,40466,NA,2329,4,1,0.286,40317,40400,2,1,40316,B,Other,6,PUBLIC,1,7,8,780,M,0,0,Costa Rica,EXISTING,14,15,2329,1,40435,40435,209,209,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,S,0,0.017948718,0.933333333,1,M-L,1
662,SC,6,7,CA,0,7,A,40644,40650,40466,NA,2459,7,1,1,NA,40421,1,1,40421,B,Northern California,6,PUBLIC,1,6,8,1281,Q,0,0,Costa Rica,NEW,7,8,2459,1,40449,40449,195,195,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,S,0,0.005464481,0.875,1,L,0
663,HO,7,8,CA,0,3,A,40645,40647,40490,NA,1878,2,1,0.4,NA,40445,1,1,40444,B,Southern California,5,PUBLIC,1,7,8,1470,Q,0.2,0,East Coast,NEW,5,6,1878,2,40470,40472,175,173,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,0,0.003401361,0.833333333,1,L,0
664,CD,8,8,FL,0,3,A,40645,40647,40491,NA,1229,2,6,0.286,NA,40463,8,1,40463,,Other,1,CHD,1,PK,12,287,H,0.143,0,East Coast,NEW,7,8,1229,1,40477,40477,168,168,Middle,Middle,Middle->Middle,April,PK,High,PK->High,C,1,0.024390244,0.875,1,S,0
665,HD,8,8,MN,0,4,A,40645,40648,40466,FR,1404,17,0,0.436,40289,40416,0,2,40290,,Other,10,Catholic,1,K,8,350,N,0.359,0,East Coast,EXISTING,39,41,1404,1,40513,40513,132,132,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,H,1,0.111428571,0.951219512,2,S-M,1
666,CD,8,8,MO,0,4,A,40645,40648,40451,FR,1334,18,1,0.783,40297,40435,1,2,40291,0,Other,10,CHD,1,PK,8,185,I,0.304,1,East Coast,EXISTING,23,25,1334,1,40421,40421,224,224,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,C,1,0.124324324,0.92,2,S,1
667,HD,6,7,SC,1,4,B,40645,40648,40474,CP,678,11,5,0.367,40263,40414,7,4,40263,C,Other,2,PUBLIC,1,PK,7,491,C,0.2,0,East Coast,EXISTING,30,34,678,1,40413,40413,232,232,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,H,0,0.061099796,0.882352941,4,S-M,0
668,HD,8,8,CT,0,4,B,40645,40648,40330,SA,689,0,0,0,40317,40317,4,8,40316,,Other,10,Private non-Christian,0,PK,12,830,Q,0,0,East Coast,EXISTING,72,80,689,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,April,PK,High,PK->High,H,1,0.086746988,0.9,8,L,1
669,ST,7,8,IL,1,4,A,40645,40648,40482,NA,1407,12,0,0.5,40295,40295,1,2,40295,,Other,4,Catholic,1,PK,8,235,N,0.5,0,Science,EXISTING,24,26,1407,1,40437,40437,208,208,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,S,0,0.10212766,0.923076923,2,S,1
670,HD,10,11,MA,0,4,B,40645,40648,40466,NA,730,1,0,0.028,40319,40421,6,4,40319,E,Other,9,PUBLIC,1,9,12,1001,O,0.056,0,East Coast,EXISTING,36,40,730,2,40350,40477,295,168,High,High,High->High,April,High,High,High->High,H,0,0.035964036,0.9,4,L,0
671,HD,7,8,LA,1,4,A,40645,40648,40452,SA,1643,0,0,0,40221,40409,2,13,40222,,Other,5,CHD,1,PK,8,350,C,0,0,East Coast,EXISTING,45,58,1643,1,40414,40414,231,231,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,H,0,0.128571429,0.775862069,13,S-M,0
672,HD,8,8,CO,0,5,A,40645,40649,40452,NA,1619,19,0,0.559,40316,40413,0,3,40316,,Other,5,Catholic,1,PK,8,400,O,0.441,0,East Coast,EXISTING,34,37,1619,2,40323,40436,322,209,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,H,1,0.085,0.918918919,3,S-M,1
673,HD,8,8,CA,0,5,A,40645,40649,40452,NA,1849,35,10,0.778,40224,40459,14,4,40207,C,Southern California,5,PUBLIC,1,7,8,1611,L,0.289,0,East Coast,EXISTING,45,49,1849,2,40281,40421,364,224,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.027932961,0.918367347,4,L,1
674,HD,NA,NA,MI,0,5,B,40645,40649,40501,NA,790,45,4,0.563,NA,40473,6,6,40473,C,Other,5,PUBLIC,0,6,8,825,L,0.175,0,East Coast,NEW,80,86,790,0,NA,NA,NA,NA,Undefined,Undefined,Undefined->Undefined,April,Middle,Middle,Middle->Middle,H,0,0.096969697,0.930232558,6,L,1
675,CN,8,8,CA,1,5,A,40645,40650,40436,FR,2249,32,10,0.516,40282,40414,11,5,40281,,Southern California,5,CHD,1,PK,8,850,I,0.081,1,East Coast,EXISTING,62,67,2249,2,40410,40441,235,204,Middle,Middle,Middle->Middle,April,PK,Middle,PK->Middle,C,1,0.072941176,0.925373134,5,L,1
676,HC,7,8,CA,0,6,A,40645,40650,40456,NA,2099,8,3,0.25,NA,40417,5,3,40415,B,Southern California,5,PUBLIC,1,K,7,670,K,0.094,0,East Coast,NEW,32,35,2099,1,40429,40429,216,216,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,H,0,0.047761194,0.914285714,3,M-L,1
677,HS,NA,NA,CA,0,2,A,40646,40647,40457,NA,559,5,0,0.217,NA,40420,0,1,40337,,Southern California,5,CHD,0,PK,8,535,L,0.044,1,CA History,EXISTING,23,24,559,0,NA,NA,NA,NA,Undefined,Undefined,Undefined->Undefined,April,PK,Middle,PK->Middle,H,0,0.042990654,0.958333333,1,S-M,1
678,HS,4,4,CA,0,2,A,40646,40647,40344,SA,559,0,0,0,NA,NA,1,1,40337,,Southern California,5,CHD,0,PK,8,535,L,0,1,CA History,EXISTING,38,39,559,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,April,PK,Middle,PK->Middle,H,1,0.071028037,0.974358974,1,S-M,1
679,HD,11,12,PA,0,3,B,40646,40648,40481,SA,552,0,0,0,40294,40294,5,8,40248,C,Other,8,PUBLIC,1,9,12,373,G,0,0,East Coast,EXISTING,71,79,552,1,40457,40457,189,189,High,High,High->High,April,High,High,High->High,H,0,0.190348525,0.898734177,8,S-M,1
680,HD,8,8,NY,0,3,B,40646,40648,40452,NA,691,29,3,0.453,40234,40410,4,6,40234,B,Other,10,PUBLIC,0,6,8,1152,M,0.156,0,East Coast,EXISTING,64,70,691,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.055555556,0.914285714,6,L,1
681,CD,8,8,NC,0,3,B,40646,40648,40436,FR,640,19,1,0.594,40267,40399,1,2,40267,,Other,2,Catholic,1,K,8,250,I,0.188,0,East Coast,EXISTING,32,34,640,1,40413,40413,233,233,Middle,Middle,Middle->Middle,April,K,Middle,K->Middle,C,1,0.128,0.941176471,2,S,1
682,HC,8,8,KS,0,5,A,40646,40650,40466,NA,1846,7,1,0.583,40239,40414,3,1,40206,C,Other,10,PUBLIC,1,6,8,790,E,0.167,0,East Coast,EXISTING,12,13,1846,1,40421,40421,225,225,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.015189873,0.923076923,1,M-L,0
683,HD,8,8,MI,0,5,B,40646,40650,40459,NA,753,88,10,0.461,40247,40413,16,19,40236,A,Other,5,PUBLIC,1,7,8,728,O,0.257,0,East Coast,EXISTING,191,210,753,1,40435,40435,211,211,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.262362637,0.90952381,19,M-L,1
684,HC,7,9,AL,1,5,A,40646,40650,40466,NA,1800,13,1,0.565,40249,40420,9,2,40248,B,Other,10,PUBLIC,1,7,12,818,K,0.261,0,East Coast,NEW,23,25,1800,2,40279,40462,367,184,Middle,High,Middle->High,April,Middle,High,Middle->High,H,0,0.028117359,0.92,2,L,0
685,HD,6,8,NV,1,5,A,40646,40650,40526,SA,1697,0,0,0,NA,NA,0,1,40404,B,Other,5,PUBLIC,0,6,8,1554,O,0,0,East Coast,EXISTING,13,14,1697,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,0,0.008365508,0.928571429,1,L,1
686,HC,8,8,CA,0,5,A,40646,40650,40522,NA,2322,4,0,0.5,NA,40497,0,1,40495,A,Northern California,5,PUBLIC,1,6,8,950,Q,0,0,East Coast,NEW,8,9,2322,1,40500,40500,146,146,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,1,0.008421053,0.888888889,1,L,0
687,HD,7,8,CA,0,6,A,40646,40651,40466,FR,2149,5,0,0.143,40281,40413,3,4,40240,E,Northern California,5,PUBLIC,1,7,8,1000,K,0.143,0,East Coast,EXISTING,35,39,2149,1,40429,40429,217,217,Middle,Middle,Middle->Middle,April,Middle,Middle,Middle->Middle,H,0,0.035,0.897435897,4,L,1
