ID,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
1537,1,Very Good,F,VVS2,VG,VG,GIA,9248
1538,0.82,Ideal,D,VS2,EX,EX,GIA,4628
1539,1.02,Very Good,F,SI1,EX,VG,AGSL,5386
1540,0.9,Very Good,D,SI1,VG,G,GIA,4537
1541,0.75,Ideal,D,VS2,ID,ID,AGSL,3679
1542,1.57,Ideal,H,VS2,VG,EX,GIA,12004
1543,2.03,Ideal,F,VS2,EX,EX,GIA,26365
1544,1.72,Ideal,E,VS2,VG,EX,GIA,19920
1545,0.9,Ideal,F,SI1,EX,VG,GIA,4795
1546,0.88,Very Good,F,VVS2,VG,VG,GIA,5052
1547,0.75,Very Good,D,SI1,G,G,GIA,3046
1548,2.01,Good,I,VS2,VG,VG,GIA,15147
1549,1.15,Very Good,E,VS1,VG,G,GIA,8906
1550,1.24,Ideal,H,VS1,EX,EX,GIA,8299
1551,1,Very Good,E,SI1,VG,VG,GIA,5571
1552,1.15,Ideal,G,VS1,VG,EX,GIA,8109
1553,1.02,Good,H,SI1,VG,G,GIA,4654
1554,1.01,Fair,E,SI1,VG,VG,GIA,5085
1555,2.01,Ideal,D,VS1,VG,VG,GIA,37701
1556,1.36,Very Good,G,IF,EX,VG,GIA,12515
1557,1.11,Very Good,G,VS1,EX,EX,GIA,8129
1558,1.8,Ideal,G,VS2,EX,EX,GIA,20343
1559,1.04,Very Good,G,IF,VG,G,GIA,8225
1560,1.04,Ideal,H,SI1,EX,EX,GIA,6458
1561,1.21,Ideal,I,VS1,ID,ID,AGSL,6418
1562,0.92,Ideal,H,SI1,EX,EX,GIA,4325
1563,0.82,Ideal,I,VS2,VG,VG,GIA,2759
1564,1.01,Good,E,SI1,EX,VG,GIA,4713
1565,1.24,Ideal,H,VVS1,ID,ID,AGSL,8693
1566,0.77,Good,I,VS1,VG,G,AGSL,2184
1567,0.93,Very Good,G,VS2,VG,VG,GIA,5181
1568,0.81,Ideal,E,SI1,EX,VG,GIA,3109
1569,1.24,Ideal,G,VS2,EX,VG,GIA,8797
1570,2.01,Ideal,F,VS2,VG,VG,GIA,27241
1571,0.9,Fair,D,SI1,VG,VG,GIA,4105
1572,1.81,Ideal,G,VVS2,EX,EX,GIA,24561
1573,0.81,Good,I,VS1,G,G,GIA,3042
1574,2,Very Good,D,VS1,EX,VG,GIA,30542
1575,0.9,Very Good,D,SI1,EX,VG,GIA,4799
1576,2.01,Very Good,F,SI1,G,VG,GIA,19789
1577,1.05,Very Good,G,SI1,ID,ID,AGSL,5197
1578,1.24,Very Good,G,VS1,VG,EX,GIA,9738
1579,0.9,Good,H,VS1,VG,VG,GIA,3796
1580,2.15,Ideal,I,VS2,EX,EX,GIA,19592
1581,0.82,Very Good,I,SI1,G,VG,GIA,2602
1582,1.1,Good,G,SI1,VG,VG,GIA,5468
1583,1.35,Ideal,H,SI1,VG,G,GIA,7780
1584,1,Very Good,F,VS2,EX,EX,GIA,6267
1585,0.75,Very Good,D,VVS1,G,VG,GIA,5239
1586,1.09,Very Good,F,SI1,VG,G,GIA,5463
1587,1.22,Ideal,G,VS1,ID,ID,AGSL,9339
1588,0.84,Very Good,I,VVS2,EX,ID,AGSL,3392
1589,1.8,Very Good,I,SI1,VG,G,GIA,11793
1590,1.14,Very Good,H,VS2,VG,VG,GIA,6103
1591,1.07,Signature-Ideal,F,SI1,EX,EX,GIA,7357
1592,1.23,Ideal,I,SI1,EX,EX,GIA,6449
1593,2.01,Good,I,VS2,EX,EX,GIA,16304
1594,1.03,Ideal,E,VVS2,VG,VG,GIA,9712
1595,1.07,Signature-Ideal,G,VS1,ID,ID,AGSL,8456
1596,1.68,Ideal,G,VS1,VG,EX,GIA,16985
1597,1.01,Ideal,D,VVS2,ID,ID,AGSL,11082
1598,1.29,Ideal,D,VS2,EX,EX,GIA,11182
1599,1.23,Very Good,G,VS1,G,G,GIA,8494
1600,1.01,Very Good,I,SI1,EX,VG,GIA,4794
1601,1.01,Ideal,I,VS1,EX,VG,GIA,5182
1602,2.06,Ideal,E,SI1,VG,G,GIA,24226
1603,1.2,Good,I,VS1,VG,VG,GIA,5600
1604,1.01,Very Good,H,SI1,VG,VG,GIA,4868
1605,1.5,Ideal,G,VS2,ID,ID,AGSL,13135
1606,0.77,Very Good,D,VS2,G,VG,GIA,3787
1607,1.61,Very Good,G,SI1,VG,G,GIA,12028
1608,1.01,Very Good,E,VS2,EX,EX,GIA,6754
1609,1.01,Good,G,VS2,EX,G,AGSL,5614
1610,2.02,Very Good,I,VS2,G,G,GIA,15759
1611,0.9,Good,F,VS2,VG,EX,GIA,4268
1612,0.76,Signature-Ideal,I,VS2,EX,EX,GIA,3075
1613,0.78,Ideal,G,VS1,EX,EX,GIA,3147
1614,1.11,Very Good,D,VVS1,VG,VG,GIA,12200
1615,1.57,Ideal,E,VVS2,VG,VG,GIA,21465
1616,1.23,Very Good,G,VVS2,EX,EX,GIA,9999
1617,2.39,Ideal,I,VS1,EX,EX,GIA,23625
1618,1.02,Very Good,H,SI1,VG,VG,GIA,4508
1619,0.88,Very Good,I,SI1,G,G,GIA,2699
1620,0.77,Ideal,I,VS1,EX,EX,GIA,2798
1621,1.51,Ideal,H,VS1,EX,EX,GIA,10186
1622,1.26,Ideal,H,VS1,EX,EX,GIA,8238
1623,1.21,Ideal,I,SI1,VG,VG,GIA,5452
1624,0.9,Ideal,E,SI1,VG,VG,GIA,4471
1625,1.24,Ideal,G,VS2,EX,EX,GIA,9209
1626,2.1,Very Good,D,SI1,VG,VG,GIA,19644
1627,1,Very Good,H,VS1,EX,VG,GIA,5619
1628,1,Ideal,F,VS1,EX,EX,GIA,7928
1629,0.76,Ideal,I,VS1,ID,ID,AGSL,2679
1630,1.01,Ideal,G,VS2,VG,EX,GIA,6449
1631,1.13,Very Good,G,VVS1,EX,EX,GIA,9357
1632,0.91,Ideal,I,VVS2,ID,ID,AGSL,4663
1633,2.03,Very Good,I,VS2,VG,VG,GIA,17297
1634,1.01,Very Good,I,SI1,EX,VG,AGSL,4243
1635,0.9,Very Good,E,SI1,VG,VG,GIA,4324
1636,1.21,Very Good,I,SI1,G,VG,GIA,5452
1637,1.28,Ideal,E,VS2,VG,VG,GIA,9568
1638,1.04,Ideal,I,IF,VG,VG,GIA,6155
1639,1.72,Ideal,F,VS2,VG,EX,GIA,17779
1640,1.52,Very Good,G,VS1,VG,VG,GIA,13492
1641,2.2,Very Good,H,VS2,EX,EX,GIA,20072
1642,2,Very Good,H,SI1,EX,EX,GIA,8803
1643,1.5,Ideal,F,VS2,EX,EX,GIA,13955
1644,2.2,Good,I,VS1,VG,VG,GIA,19830
1645,1.71,Ideal,D,SI1,EX,EX,GIA,16575
1646,2,Very Good,E,VS2,VG,VG,GIA,24530
1647,1.65,Ideal,I,SI1,EX,EX,GIA,10365
1648,1.62,Ideal,H,VVS2,VG,VG,GIA,13843
1649,1.7,Very Good,G,VS2,EX,EX,GIA,18107
1650,1,Good,E,VS2,G,G,GIA,6445
1651,1,Good,D,VS2,VG,G,GIA,6389
1652,1.72,Ideal,G,VVS2,VG,EX,GIA,19353
1653,1.53,Ideal,G,SI1,EX,VG,GIA,10947
1654,2.01,Very Good,H,VS2,VG,G,GIA,19044
1655,1.21,Good,E,SI1,VG,VG,GIA,6861
1656,1.17,Very Good,H,IF,G,G,GIA,7644
1657,2.04,Very Good,I,VS1,G,G,GIA,18127
1658,1.22,Very Good,G,VVS1,VG,G,GIA,10529
1659,0.9,Very Good,I,VS1,VG,VG,GIA,3880
1660,1.04,Ideal,G,VS1,EX,EX,GIA,7467
1661,1.53,Very Good,I,SI1,EX,EX,GIA,7971
1662,1.06,Very Good,D,SI1,G,G,GIA,5893
1663,1.04,Ideal,G,VVS2,EX,EX,GIA,8515
1664,2.48,Ideal,D,VVS1,EX,EX,GIA,67382
1665,0.8,Ideal,H,IF,EX,VG,GIA,3831
1666,1.12,Ideal,H,IF,EX,VG,GIA,7971
1667,1.01,Very Good,G,VVS2,G,G,GIA,7226
1668,2.09,Ideal,D,VS1,EX,EX,GIA,38627
1669,1.54,Ideal,F,VS1,VG,VG,GIA,17194
1670,0.92,Good,I,VS2,G,G,GIA,3785
1671,1.45,Very Good,I,IF,EX,VG,GIA,9683
1672,2.48,Very Good,F,VVS1,VG,VG,GIA,50585
1673,1.2,Very Good,I,SI1,EX,EX,GIA,5955
1674,0.83,Ideal,G,VS2,EX,EX,GIA,3849
1675,1,Very Good,H,SI1,EX,VG,GIA,5161
1676,2.43,Very Good,E,VS1,VG,VG,GIA,44379
1677,1.02,Ideal,H,SI1,EX,EX,GIA,5301
1678,0.77,Signature-Ideal,F,SI1,EX,EX,GIA,3702
1679,1,Very Good,E,SI1,VG,G,GIA,5718
1680,2.08,Very Good,I,VS2,VG,VG,GIA,16664
1681,0.92,Ideal,I,VS2,VG,VG,GIA,3679
1682,1.14,Signature-Ideal,H,SI1,ID,ID,AGSL,7079
1683,0.76,Ideal,D,SI1,VG,VG,GIA,3075
1684,0.77,Very Good,I,VS2,VG,VG,GIA,2513
1685,1.52,Ideal,I,IF,EX,EX,GIA,12847
1686,2.09,Ideal,G,VS2,G,G,GIA,26058
1687,1.27,Ideal,H,VS1,EX,EX,GIA,8652
1688,1.01,Good,G,SI1,VG,VG,GIA,4781
1689,0.75,Very Good,I,VVS2,ID,ID,AGSL,2744
1690,2.07,Ideal,F,VS1,EX,EX,GIA,33687
1691,2.5,Ideal,H,VS2,EX,EX,GIA,29223
1692,1.71,Ideal,I,SI1,VG,EX,GIA,10668
1693,1.52,Very Good,G,SI1,EX,VG,GIA,11014
1694,2.17,Very Good,I,SI1,EX,VG,GIA,15760
1695,1.3,Ideal,I,IF,EX,VG,GIA,8027
1696,1.22,Ideal,H,VVS2,VG,EX,GIA,7835
1697,0.9,Very Good,G,IF,EX,VG,GIA,5754
1698,2.66,Ideal,G,VVS1,EX,VG,GIA,46861
1699,2.16,Ideal,G,VS2,EX,EX,GIA,27874
1700,2.05,Ideal,D,VS2,EX,EX,GIA,31298
1701,1.02,Very Good,G,VS1,EX,VG,GIA,6622
1702,1.01,Very Good,G,VS2,EX,VG,GIA,5944
1703,1,Good,H,SI1,VG,G,GIA,4447
1704,1.01,Very Good,E,VS2,VG,G,GIA,6522
1705,2.01,Ideal,F,SI1,EX,EX,GIA,22373
1706,1.11,Very Good,F,VS1,G,G,GIA,8233
1707,1.06,Ideal,F,VS2,EX,EX,GIA,7641
1708,1.14,Very Good,I,SI1,VG,VG,GIA,4973
1709,1.36,Signature-Ideal,H,SI1,EX,EX,GIA,8989
1710,1.2,Very Good,I,VS2,VG,VG,GIA,5986
1711,2.02,Good,I,VS2,VG,G,GIA,16593
1712,1.51,Ideal,I,VS2,VG,VG,GIA,9337
1713,1.23,Ideal,H,VS1,EX,EX,GIA,7803
1714,0.9,Very Good,F,VS1,EX,VG,GIA,5167
1715,1.02,Very Good,D,SI1,VG,G,GIA,5778
1716,2.1,Ideal,H,VS2,ID,ID,AGSL,22093
1717,2.02,Ideal,G,VS1,VG,VG,GIA,24579
1718,1.5,Very Good,F,VS2,EX,EX,GIA,13537
1719,1.5,Good,I,VS1,G,VG,GIA,9278
1720,0.96,Fair,E,SI1,VG,VG,GIA,4308
1721,1.1,Very Good,G,VS2,G,VG,GIA,7406
1722,1.13,Ideal,H,SI1,EX,VG,GIA,5671
1723,1.51,Very Good,G,VVS2,EX,EX,GIA,15110
1724,1.06,Very Good,H,SI1,EX,EX,GIA,5664
1725,2.07,Very Good,F,VS1,VG,G,GIA,29735
1726,1.25,Ideal,F,IF,VG,VG,GIA,14551
1727,1.51,Ideal,D,VVS2,ID,ID,AGSL,20613
1728,1.01,Ideal,F,VS2,EX,EX,GIA,7338
1729,0.75,Very Good,E,SI1,EX,EX,GIA,2993
1730,1.5,Ideal,I,VS2,ID,ID,AGSL,10181
1731,1.51,Very Good,G,SI1,EX,VG,GIA,10947
1732,1.16,Very Good,G,VVS1,G,VG,GIA,9023
1733,1.02,Very Good,F,VS1,VG,EX,GIA,7010
1734,1.21,Ideal,H,VVS2,ID,ID,AGSL,7954
1735,1.08,Very Good,F,VVS2,G,VG,GIA,8221
1736,0.94,Very Good,H,VS1,EX,VG,GIA,4556
1737,1.74,Very Good,D,SI1,G,VG,GIA,16286
1738,2,Good,H,VS1,EX,EX,GIA,17440
1739,1.04,Very Good,D,VS2,ID,EX,AGSL,7653
1740,1.5,Very Good,H,VS1,EX,EX,GIA,12152
1741,1.51,Good,I,SI1,G,VG,GIA,7461
1742,1.34,Very Good,H,VVS2,VG,VG,GIA,9735
1743,1.02,Very Good,G,SI1,VG,VG,GIA,4624
1744,1,Ideal,F,SI1,EX,EX,GIA,5115
1745,1,Good,G,SI1,VG,VG,GIA,4661
1746,1.17,Ideal,G,VVS2,EX,EX,GIA,9142
1747,1.22,Ideal,H,VS1,VG,EX,GIA,7418
1748,0.9,Very Good,D,VS2,VG,VG,GIA,4981
1749,1.08,Ideal,I,SI1,EX,EX,GIA,4705
1750,1.12,Ideal,D,SI1,G,G,GIA,7153
1751,1.16,Ideal,F,VS2,EX,EX,GIA,9432
1752,2.05,Ideal,G,IF,VG,G,GIA,34736
1753,0.81,Ideal,D,SI1,VG,VG,GIA,4053
1754,0.9,Very Good,G,VS2,G,VG,GIA,4276
1755,2.02,Good,G,SI1,VG,G,GIA,19466
1756,2.13,Very Good,G,VS2,VG,G,GIA,25921
1757,1.01,Ideal,D,IF,EX,EX,GIA,19146
1758,0.87,Very Good,D,SI1,G,G,GIA,3664
1759,1.13,Signature-Ideal,H,VS2,EX,EX,GIA,7464
1760,2.02,Very Good,F,VS2,VG,G,GIA,26435
1761,2.09,Ideal,F,SI1,ID,ID,AGSL,22280
1762,1.01,Very Good,E,VS2,EX,VG,GIA,6456
1763,0.9,Very Good,I,SI1,VG,VG,GIA,3407
1764,1.17,Ideal,F,VVS1,ID,ID,AGSL,11029
1765,1.19,Ideal,H,VS2,EX,EX,GIA,7633
1766,2.22,Ideal,G,VS1,EX,EX,GIA,32516
1767,1.5,Very Good,E,SI1,VG,G,GIA,12000
1768,0.95,Very Good,D,SI1,G,G,GIA,5101
1769,1.51,Very Good,E,VS2,VG,G,GIA,12779
1770,1.15,Ideal,H,VS2,EX,EX,GIA,6772
1771,1.02,Ideal,G,VS2,ID,ID,AGSL,6499
1772,0.9,Very Good,G,VS1,VG,VG,GIA,4813
1773,2.2,Ideal,D,VS2,VG,VG,GIA,32780
1774,1.11,Ideal,G,VVS1,EX,EX,GIA,9345
1775,1.2,Ideal,E,VVS2,VG,VG,GIA,11883
1776,1.51,Very Good,I,VS1,VG,VG,GIA,10231
1777,0.9,Good,G,VS2,EX,G,GIA,4291
1778,1.09,Ideal,H,VS2,ID,ID,AGSL,5732
1779,1.57,Very Good,D,SI1,EX,EX,GIA,12697
1780,1.01,Ideal,D,SI1,EX,EX,GIA,6257
1781,2.2,Ideal,F,IF,EX,EX,GIA,48845
1782,0.9,Very Good,I,VS2,VG,VG,GIA,3605
1783,1.58,Ideal,H,VS2,EX,VG,GIA,11419
1784,2.15,Very Good,G,VS2,EX,EX,GIA,25538
1785,2.01,Very Good,G,SI1,EX,VG,GIA,19079
1786,2.15,Very Good,I,VS2,VG,VG,GIA,17774
1787,1.51,Good,F,VS2,G,G,GIA,13010
1788,2.22,Very Good,H,SI1,VG,VG,GIA,20073
1789,1.27,Ideal,G,VS2,EX,EX,GIA,9489
1790,1.32,Very Good,H,VVS2,VG,VG,GIA,9513
1791,1.04,Ideal,G,VS2,VG,VG,GIA,6468
1792,1.07,Very Good,G,VS2,VG,G,GIA,6274
1793,0.83,Ideal,H,VS1,ID,ID,AGSL,3433
1794,0.77,Very Good,D,SI1,EX,EX,GIA,3040
1795,1.05,Ideal,I,SI1,EX,EX,GIA,4516
1796,1.52,Ideal,H,SI1,ID,ID,AGSL,11797
1797,1.19,Good,H,VS1,EX,EX,GIA,7152
1798,0.77,Very Good,F,VS2,VG,EX,GIA,3500
1799,1.01,Ideal,D,IF,EX,VG,GIA,17458
1800,1.55,Ideal,G,VVS2,EX,EX,GIA,15979
1801,2.05,Ideal,I,SI1,VG,VG,GIA,15629
1802,2,Very Good,F,SI1,G,G,GIA,18759
1803,1.51,Very Good,F,VVS2,EX,EX,GIA,17203
1804,2.08,Very Good,H,VS1,ID,ID,AGSL,23041
1805,2.23,Ideal,I,VVS2,EX,EX,GIA,22328
1806,1.29,Ideal,H,VS2,ID,ID,AGSL,8482
1807,2.01,Good,H,SI1,VG,VG,GIA,14968
1808,1.2,Ideal,D,SI1,EX,EX,GIA,8037
1809,2.14,Ideal,I,SI1,EX,EX,GIA,17213
1810,1.62,Ideal,I,VVS1,EX,EX,GIA,12186
1811,1.11,Ideal,F,VS2,EX,VG,GIA,8347
1812,1.5,Good,E,VS2,VG,VG,GIA,12649
1813,1.01,Very Good,H,VS2,G,G,GIA,5861
1814,2.07,Very Good,H,VS2,EX,EX,AGSL,19602
1815,1,Fair,F,VS2,G,G,GIA,6210
1816,1.14,Very Good,D,SI1,EX,EX,GIA,6464
1817,1.2,Good,G,VS2,VG,VG,GIA,6793
1818,1.2,Ideal,F,VVS1,EX,EX,GIA,11840
1819,0.9,Ideal,I,SI1,EX,EX,GIA,3537
1820,2.26,Ideal,F,VS1,EX,G,GIA,35200
1821,1.2,Ideal,G,VS1,EX,EX,GIA,9625
1822,1.3,Ideal,I,SI1,VG,VG,GIA,6451
1823,1.01,Ideal,F,VS1,EX,VG,GIA,6945
1824,1.53,Ideal,F,SI1,ID,ID,AGSL,12616
1825,0.75,Ideal,I,VS2,EX,EX,GIA,2680
1826,0.85,Ideal,G,SI1,VG,EX,GIA,3403
1827,1.02,Good,F,SI1,VG,VG,GIA,4983
1828,0.81,Very Good,I,VS2,G,G,GIA,2714
1829,1.51,Very Good,I,VS2,G,VG,GIA,9058
1830,1,Good,I,VS1,EX,G,GIA,4489
1831,2.1,Very Good,F,VS2,EX,EX,GIA,29308
1832,1.06,Ideal,G,VS2,VG,EX,GIA,6570
1833,2.02,Very Good,D,VS2,VG,G,GIA,31941
1834,1.58,Ideal,H,VVS2,EX,EX,GIA,13397
1835,0.91,Very Good,I,VS2,VG,G,GIA,3664
1836,1.04,Very Good,G,VVS2,G,G,GIA,8107
1837,2.58,Ideal,E,VS2,VG,EX,GIA,40625
1838,1.54,Ideal,H,VS1,ID,ID,AGSL,12120
1839,1.23,Ideal,H,VVS2,EX,EX,GIA,8509
1840,0.96,Very Good,H,SI1,EX,VG,GIA,4027
1841,2.19,Ideal,G,IF,EX,EX,GIA,40667
1842,1.23,Very Good,I,VS2,G,VG,GIA,5874
1843,1.2,Very Good,G,VS1,G,VG,GIA,8150
1844,1.5,Good,I,VS2,EX,VG,GIA,8999
1845,1,Good,G,SI1,VG,G,GIA,4859
1846,1.21,Very Good,E,VVS2,EX,VG,GIA,11213
1847,1.22,Good,G,VS2,EX,VG,GIA,8533
1848,1.01,Very Good,G,VS2,EX,G,GIA,5777
1849,1.59,Ideal,D,SI1,VG,VG,GIA,13298
1850,1.14,Signature-Ideal,G,VS1,ID,ID,AGSL,9090
1851,1.09,Ideal,E,VS1,VG,EX,GIA,8810
1852,1.15,Very Good,E,VVS1,VG,VG,GIA,11906
1853,1.2,Ideal,G,VS1,VG,VG,GIA,8954
1854,1.2,Very Good,D,SI1,EX,VG,GIA,8089
1855,0.9,Good,E,SI1,VG,VG,GIA,3931
1856,2.18,Ideal,H,VS2,EX,EX,GIA,23470
1857,0.9,Good,D,SI1,EX,VG,GIA,4117
1858,0.91,Very Good,G,VS2,EX,EX,GIA,5484
1859,1,Very Good,E,SI1,EX,EX,GIA,6207
1860,1.14,Ideal,E,VS1,VG,VG,GIA,8845
1861,1.5,Very Good,H,VVS1,VG,VG,GIA,11654
1862,1.1,Signature-Ideal,G,SI1,ID,ID,AGSL,6837
1863,1,Very Good,E,SI1,VG,VG,GIA,5051
1864,1.72,Ideal,G,SI1,ID,ID,AGSL,13215
1865,2.02,Very Good,H,VS1,VG,VG,GIA,21039
1866,1.34,Very Good,I,VS2,VG,VG,GIA,6883
1867,1.01,Ideal,D,VS1,EX,EX,GIA,8977
1868,0.9,Very Good,D,SI1,VG,VG,GIA,4661
1869,1.52,Ideal,F,VVS2,EX,EX,GIA,20211
1870,1,Very Good,E,VS2,EX,EX,GIA,7060
1871,1.2,Very Good,G,IF,EX,EX,GIA,10495
1872,1.21,Very Good,D,VVS2,VG,VG,GIA,13630
1873,0.85,Ideal,D,SI1,VG,VG,GIA,3639
1874,2,Good,F,SI1,G,G,GIA,18376
1875,1.08,Very Good,G,VS2,VG,G,GIA,6777
1876,1.5,Good,F,SI1,G,G,GIA,11668
1877,1.52,Very Good,I,SI1,ID,EX,AGSL,9163
1878,1.04,Ideal,G,VS2,VG,VG,GIA,6481
1879,1.02,Very Good,E,SI1,VG,VG,GIA,5207
1880,1.64,Signature-Ideal,I,VS2,ID,ID,AGSL,12199
1881,2,Good,G,VS2,EX,G,GIA,20426
1882,2.64,Very Good,D,IF,VG,EX,GIA,93813
1883,0.9,Very Good,I,SI1,G,G,GIA,3168
1884,1.01,Very Good,G,VS1,EX,EX,GIA,6905
1885,0.9,Ideal,H,VS1,VG,EX,AGSL,4634
1886,0.9,Good,F,VS1,VG,VG,GIA,4508
1887,0.9,Very Good,H,VS2,VG,VG,GIA,4314
1888,1.4,Ideal,G,VVS2,VG,VG,GIA,14231
1889,2.01,Very Good,D,SI1,VG,VG,GIA,21440
1890,2.09,Very Good,H,VS2,EX,VG,GIA,22791
1891,0.91,Good,D,SI1,VG,G,GIA,4265
1892,0.92,Very Good,D,SI1,VG,VG,GIA,5209
1893,1.01,Very Good,F,SI1,EX,EX,GIA,5231
1894,0.79,Ideal,E,SI1,G,G,GIA,3171
1895,1.83,Ideal,G,VS2,EX,EX,GIA,19293
1896,1.06,Ideal,F,VVS1,VG,EX,GIA,10307
1897,0.9,Good,D,SI1,EX,EX,GIA,4362
1898,1,Good,D,VVS2,VG,EX,GIA,8949
1899,0.76,Ideal,D,SI1,EX,EX,GIA,3306
1900,2.13,Ideal,H,SI1,EX,EX,GIA,19969
1901,2.03,Ideal,F,VS2,EX,EX,GIA,27293
1902,1.55,Ideal,I,VS1,ID,ID,AGSL,10583
1903,1.08,Good,E,SI1,VG,VG,GIA,5575
1904,0.79,Very Good,F,SI1,G,VG,GIA,2878
1905,1.06,Very Good,G,SI1,EX,EX,GIA,5435
1906,1.37,Ideal,I,VS2,ID,ID,AGSL,7966
1907,1.5,Very Good,E,SI1,EX,EX,GIA,11194
1908,2,Good,G,VS2,VG,G,GIA,24376
1909,1.46,Very Good,D,IF,EX,VG,AGSL,25848
1910,2.32,Very Good,F,VS2,VG,G,GIA,32906
1911,2.08,Ideal,E,VS1,EX,EX,GIA,35771
1912,0.76,Very Good,G,VVS2,G,G,GIA,3394
1913,1.05,Very Good,H,SI1,VG,VG,GIA,5406
1914,2.07,Very Good,G,VS2,G,G,GIA,27305
1915,1.28,Ideal,G,VVS2,EX,EX,GIA,11996
1916,1.01,Ideal,H,SI1,VG,VG,GIA,4886
1917,2.01,Very Good,G,VS1,VG,G,GIA,25556
1918,1.01,Ideal,D,VVS2,VG,VG,GIA,10819
1919,1.09,Ideal,I,VS2,EX,EX,GIA,5421
1920,0.8,Very Good,G,SI1,G,VG,GIA,2885
1921,1.01,Ideal,E,VS2,VG,VG,GIA,6956
1922,1.01,Ideal,G,VS2,ID,ID,AGSL,6439
1923,0.78,Ideal,G,VS1,EX,EX,GIA,3736
1924,2.61,Ideal,I,SI1,EX,EX,GIA,22110
1925,2.51,Ideal,D,VS1,VG,VG,GIA,46395
1926,1.05,Very Good,I,VS2,VG,VG,GIA,4975
1927,1.76,Good,H,SI1,G,VG,GIA,12429
1928,1.16,Ideal,G,SI1,EX,EX,GIA,5908
1929,2.39,Ideal,H,VVS1,VG,VG,GIA,31857
1930,1.05,Ideal,H,SI1,EX,EX,GIA,4924
1931,1.46,Good,E,VS2,G,VG,GIA,11851
1932,1.01,Very Good,H,VVS1,EX,ID,AGSL,6733
1933,1.54,Ideal,G,VS1,ID,ID,AGSL,14462
1934,1.51,Very Good,F,SI1,VG,G,GIA,11164
1935,1.18,Ideal,I,SI1,VG,EX,GIA,5378
1936,1.03,Very Good,G,VS2,EX,EX,GIA,6931
1937,0.83,Ideal,H,VVS1,EX,EX,GIA,3846
1938,1.39,Very Good,I,VS2,G,G,GIA,7130
1939,0.91,Ideal,E,SI1,EX,EX,GIA,5458
1940,1.24,Ideal,I,SI1,EX,EX,GIA,6232
1941,2.03,Very Good,I,VS2,EX,EX,GIA,16685
1942,1.12,Ideal,E,VS1,EX,VG,GIA,9719
1943,1,Good,G,VS1,EX,EX,GIA,6187
1944,1.51,Good,F,VVS2,EX,EX,GIA,14654
1945,1.2,Ideal,I,VS2,G,VG,GIA,5514
1946,2,Very Good,D,VS2,VG,G,GIA,24578
1947,1.01,Very Good,H,SI1,EX,EX,GIA,5026
1948,1.5,Very Good,I,VS2,G,G,GIA,8827
1949,0.79,Ideal,D,SI1,EX,EX,GIA,3605
1950,0.79,Ideal,I,VS1,VG,VG,GIA,2846
1951,0.92,Very Good,H,SI1,G,G,GIA,3800
1952,2.09,Ideal,H,VS1,EX,VG,GIA,22315
1953,1.08,Very Good,H,SI1,VG,EX,GIA,5127
1954,2.03,Very Good,H,VS1,VG,G,GIA,19249
1955,2.17,Ideal,I,VS1,EX,EX,GIA,21482
1956,1.19,Good,G,SI1,G,G,GIA,4958
1957,1.54,Very Good,I,IF,VG,G,GIA,10937
1958,1.05,Ideal,F,VS2,VG,EX,GIA,7019
1959,1,Good,H,SI1,VG,VG,GIA,4574
1960,2.51,Ideal,H,VS2,VG,VG,GIA,28105
1961,1.5,Very Good,E,VVS1,VG,G,GIA,21690
1962,0.76,Ideal,H,VVS1,EX,VG,GIA,3363
1963,0.84,Very Good,F,VS2,VG,VG,GIA,3174
1964,1.66,Ideal,I,VS2,EX,EX,GIA,10795
1965,0.83,Ideal,D,SI1,EX,EX,GIA,3990
1966,2.04,Very Good,I,SI1,ID,ID,AGSL,17323
1967,0.92,Ideal,D,VS2,EX,EX,GIA,6734
1968,1.59,Very Good,F,VVS2,VG,VG,GIA,18406
1969,1.02,Very Good,G,VVS2,EX,G,GIA,7292
1970,1.12,Signature-Ideal,E,VS2,ID,ID,AGSL,9710
1971,2.01,Good,H,VS1,VG,VG,GIA,20157
1972,2.01,Very Good,D,VS1,VG,VG,GIA,40217
1973,0.76,Ideal,D,VS1,EX,EX,GIA,3746
1974,1.09,Very Good,F,VS2,EX,EX,GIA,6990
1975,1.51,Very Good,I,VS2,EX,EX,GIA,9297
1976,1.5,Very Good,F,SI1,EX,VG,GIA,10372
1977,1.01,Fair,I,VS1,VG,G,GIA,4263
1978,0.76,Very Good,G,VS2,EX,VG,GIA,2699
1979,1.65,Ideal,I,VS1,VG,EX,GIA,11472
1980,0.77,Ideal,H,VVS1,EX,VG,GIA,3638
1981,0.91,Very Good,F,SI1,EX,VG,GIA,4785
1982,0.91,Very Good,H,VVS2,EX,EX,GIA,4389
1983,2.03,Ideal,H,VS1,VG,VG,GIA,24768
1984,1.08,Very Good,I,SI1,EX,EX,GIA,4790
1985,0.77,Very Good,G,SI1,VG,VG,GIA,2915
1986,1.48,Good,G,IF,G,G,GIA,15164
1987,2.01,Ideal,H,VS1,VG,G,GIA,21204
1988,0.8,Very Good,F,SI1,VG,VG,GIA,3532
1989,2.26,Good,G,VS2,VG,VG,GIA,26847
1990,1,Very Good,F,SI1,EX,G,GIA,4908
1991,1.09,Signature-Ideal,I,VS1,EX,EX,GIA,6225
1992,0.91,Good,F,SI1,EX,VG,GIA,3893
